City,Year,Weekly_Pay,Type
Bangor,2023,554.7803231617507,forecast
Bangor,2024,547.4558498054823,forecast
Bangor,2025,594.3119499905396,forecast
Bangor,2026,613.5117257058262,forecast
Bangor,2027,579.4541706709327,forecast
Bangor,2028,606.5818032742948,forecast
Bangor,2029,647.2093029734993,forecast
Bangor,2030,655.4490675023451,forecast
Bangor,2031,676.5382184078322,forecast
Bangor,2032,678.0007846914134,forecast
Bangor,2033,723.8546587646267,forecast
Bangor,2034,738.0130166228897,forecast
Bangor,2035,741.626838788219,forecast
Bath,2023,723.8501959958201,forecast
Bath,2024,706.1879847150619,forecast
Bath,2025,653.58996651856,forecast
Bath,2026,734.7943699747885,forecast
Bath,2027,682.1528002573193,forecast
Bath,2028,795.2669397982202,forecast
Bath,2029,763.5352786932418,forecast
Bath,2030,773.3576684692487,forecast
Bath,2031,764.2669089174891,forecast
Bath,2032,880.8448287788224,forecast
Bath,2033,825.6141201900567,forecast
Bath,2034,828.1640310295378,forecast
Bath,2035,849.0437654239813,forecast
Birmingham,2023,607.4041149468586,forecast
Birmingham,2024,619.797584002053,forecast
Birmingham,2025,634.7876124061995,forecast
Birmingham,2026,649.4235962677282,forecast
Birmingham,2027,684.5836049927686,forecast
Birmingham,2028,668.1056535129165,forecast
Birmingham,2029,681.2391857893026,forecast
Birmingham,2030,691.9998770803304,forecast
Birmingham,2031,723.7519288528157,forecast
Birmingham,2032,744.3885050019645,forecast
Birmingham,2033,743.7350824115664,forecast
Birmingham,2034,749.346647431934,forecast
Birmingham,2035,763.9533726976468,forecast
Bradford,2023,587.3632583533882,forecast
Bradford,2024,605.1045955759445,forecast
Bradford,2025,619.9921626998035,forecast
Bradford,2026,625.0484777825496,forecast
Bradford,2027,650.63686503318,forecast
Bradford,2028,666.349331357135,forecast
Bradford,2029,684.1817264526497,forecast
Bradford,2030,707.3825837726649,forecast
Bradford,2031,717.9057487757383,forecast
Bradford,2032,739.1821799397371,forecast
Bradford,2033,750.0611262744027,forecast
Bradford,2034,769.0587460014377,forecast
Bradford,2035,789.2322247529631,forecast
Brighton and Hove,2023,639.0650738094494,forecast
Brighton and Hove,2024,668.9268616825294,forecast
Brighton and Hove,2025,680.8590927094945,forecast
Brighton and Hove,2026,692.5435229955077,forecast
Brighton and Hove,2027,711.6359217041972,forecast
Brighton and Hove,2028,750.3025084422748,forecast
Brighton and Hove,2029,731.4739703283237,forecast
Brighton and Hove,2030,771.0316986538933,forecast
Brighton and Hove,2031,748.1615800232253,forecast
Brighton and Hove,2032,780.9532041710031,forecast
Brighton and Hove,2033,801.9093185029307,forecast
Brighton and Hove,2034,821.8331174781734,forecast
Brighton and Hove,2035,837.6027451369558,forecast
Bristol,2023,674.45197134704,forecast
Bristol,2024,684.4793439001307,forecast
Bristol,2025,704.0049424680657,forecast
Bristol,2026,736.7738502631665,forecast
Bristol,2027,747.6582057833202,forecast
Bristol,2028,758.218378127262,forecast
Bristol,2029,780.1085074270726,forecast
Bristol,2030,802.6583833968295,forecast
Bristol,2031,836.3165361709629,forecast
Bristol,2032,853.6153752114727,forecast
Bristol,2033,879.2519887639809,forecast
Bristol,2034,889.5041012071867,forecast
Bristol,2035,915.4891959060916,forecast
Cambridge,2023,771.2810068323186,forecast
Cambridge,2024,773.1242394919376,forecast
Cambridge,2025,816.0037539085034,forecast
Cambridge,2026,813.4138642523224,forecast
Cambridge,2027,845.021463414211,forecast
Cambridge,2028,868.9683491450476,forecast
Cambridge,2029,873.7266055758716,forecast
Cambridge,2030,938.7203264022118,forecast
Cambridge,2031,940.0463922069331,forecast
Cambridge,2032,976.0692648327303,forecast
Cambridge,2033,1011.7629920324689,forecast
Cambridge,2034,1035.3351979496058,forecast
Cambridge,2035,1065.0124417379598,forecast
Canterbury,2023,629.4629650303758,forecast
Canterbury,2024,625.7031899908054,forecast
Canterbury,2025,648.6387115132233,forecast
Canterbury,2026,593.6443772719708,forecast
Canterbury,2027,612.4518237199402,forecast
Canterbury,2028,626.6339095819409,forecast
Canterbury,2029,648.8454346854749,forecast
Canterbury,2030,713.8548882462444,forecast
Canterbury,2031,670.9367864608495,forecast
Canterbury,2032,701.2106526630315,forecast
Canterbury,2033,777.4179429605955,forecast
Canterbury,2034,720.5114621571788,forecast
Canterbury,2035,773.409593440081,forecast
Cardiff,2023,586.4868272856321,forecast
Cardiff,2024,619.8741114613526,forecast
Cardiff,2025,610.6767847104278,forecast
Cardiff,2026,640.6755170637291,forecast
Cardiff,2027,687.1080083855115,forecast
Cardiff,2028,625.1978304840871,forecast
Cardiff,2029,700.0362481429441,forecast
Cardiff,2030,706.6812067753348,forecast
Cardiff,2031,694.9595922548991,forecast
Cardiff,2032,682.6590368936462,forecast
Cardiff,2033,738.8891776295314,forecast
Cardiff,2034,733.8255685161512,forecast
Cardiff,2035,768.1956300696035,forecast
Carlisle,2023,599.4023151188906,forecast
Carlisle,2024,647.9931995502368,forecast
Carlisle,2025,637.5135393345357,forecast
Carlisle,2026,645.2846869558658,forecast
Carlisle,2027,687.3633613094779,forecast
Carlisle,2028,709.3771949952608,forecast
Carlisle,2029,750.358011977082,forecast
Carlisle,2030,762.619641252151,forecast
Carlisle,2031,775.6727108716636,forecast
Carlisle,2032,816.087885989945,forecast
