City,Year,Weekly_Pay,Type
Bangor,2015,434.0,historical
Bangor,2016,445.3,historical
Bangor,2017,431.2,historical
Bangor,2018,473.0,historical
Bangor,2019,479.0,historical
Bangor,2020,499.9,historical
Bangor,2021,518.2,historical
Bangor,2022,542.6,historical
Bath,2015,522.3,historical
Bath,2016,564.1,historical
Bath,2017,544.2,historical
Bath,2018,610.0,historical
Bath,2019,613.3,historical
Bath,2020,576.2,historical
Bath,2021,583.4,historical
Bath,2022,697.0,historical
Birmingham,2015,488.2,historical
Birmingham,2016,495.0,historical
Birmingham,2017,523.1,historical
Birmingham,2018,531.5,historical
Birmingham,2019,536.6,historical
Birmingham,2020,551.6,historical
Birmingham,2021,562.7,historical
Birmingham,2022,599.9,historical
Bradford,2015,449.5,historical
Bradford,2016,471.6,historical
Bradford,2017,475.7,historical
Bradford,2018,488.7,historical
Bradford,2019,503.7,historical
Bradford,2020,536.6,historical
Bradford,2021,546.1,historical
Bradford,2022,570.1,historical
Brighton and Hove,2015,542.9,historical
Brighton and Hove,2016,561.2,historical
Brighton and Hove,2017,577.9,historical
Brighton and Hove,2018,584.0,historical
Brighton and Hove,2019,610.9,historical
Brighton and Hove,2020,630.6,historical
Brighton and Hove,2021,617.8,historical
Brighton and Hove,2022,644.4,historical
Bristol,2015,506.3,historical
Bristol,2016,524.0,historical
Bristol,2017,539.5,historical
Bristol,2018,556.2,historical
Bristol,2019,594.1,historical
Bristol,2020,603.7,historical
Bristol,2021,622.8,historical
Bristol,2022,649.7,historical
Cambridge,2015,583.3,historical
Cambridge,2016,589.1,historical
Cambridge,2017,595.6,historical
Cambridge,2018,633.3,historical
Cambridge,2019,632.1,historical
Cambridge,2020,660.2,historical
Cambridge,2021,728.9,historical
Cambridge,2022,748.7,historical
Canterbury,2015,582.0,historical
Canterbury,2016,558.4,historical
Canterbury,2017,555.8,historical
Canterbury,2018,582.5,historical
Canterbury,2019,626.5,historical
Canterbury,2020,598.4,historical
Canterbury,2021,577.6,historical
Canterbury,2022,654.3,historical
Cardiff,2015,519.0,historical
Cardiff,2016,534.4,historical
Cardiff,2017,539.2,historical
Cardiff,2018,536.6,historical
Cardiff,2019,582.6,historical
Cardiff,2020,550.6,historical
Cardiff,2021,574.9,historical
Cardiff,2022,626.6,historical
Carlisle,2015,429.8,historical
Carlisle,2016,459.9,historical
Carlisle,2017,459.9,historical
Carlisle,2018,479.5,historical
Carlisle,2019,519.2,historical
Carlisle,2020,550.4,historical
Carlisle,2021,548.6,historical
Chelmsford,2015,601.1,historical
Chelmsford,2016,607.2,historical
Chelmsford,2017,595.0,historical
Chelmsford,2018,625.5,historical
Chelmsford,2019,637.7,historical
Chelmsford,2020,630.6,historical
Chelmsford,2021,659.2,historical
Chelmsford,2022,692.8,historical
Chester,2015,525.5,historical
Chester,2016,548.1,historical
Chester,2017,554.8,historical
Chester,2018,562.6,historical
Chester,2019,611.3,historical
Chester,2020,601.2,historical
Chester,2021,608.8,historical
Chester,2022,650.5,historical
Chichester,2015,542.6,historical
Chichester,2016,577.5,historical
Chichester,2017,583.3,historical
Chichester,2018,586.7,historical
Chichester,2019,658.8,historical
Chichester,2020,520.7,historical
Chichester,2021,654.9,historical
Chichester,2022,638.3,historical
Colchester,2015,530.5,historical
Colchester,2016,566.4,historical
Colchester,2017,581.3,historical
Colchester,2018,574.9,historical
Colchester,2019,602.7,historical
Colchester,2020,600.1,historical
Colchester,2021,590.2,historical
Colchester,2022,706.6,historical
Coventry,2015,509.7,historical
Coventry,2016,531.8,historical
Coventry,2017,535.8,historical
Coventry,2018,561.2,historical
Coventry,2019,540.7,historical
Coventry,2020,565.9,historical
Coventry,2021,602.6,historical
Coventry,2022,632.4,historical
Derby,2015,518.2,historical
Derby,2016,551.6,historical
Derby,2017,546.2,historical
Derby,2018,578.6,historical
Derby,2019,586.3,historical
Derby,2020,586.7,historical
Derby,2021,579.0,historical
Derby,2022,598.4,historical
Doncaster,2015,467.0,historical
Doncaster,2016,479.1,historical
Doncaster,2017,480.0,historical
Doncaster,2018,520.9,historical
Doncaster,2019,525.9,historical
Doncaster,2020,553.9,historical
Doncaster,2021,568.8,historical
Doncaster,2022,594.3,historical
Durham,2015,481.1,historical
Durham,2016,488.4,historical
Durham,2017,504.4,historical
Durham,2018,513.1,historical
Durham,2019,544.5,historical
Durham,2020,529.5,historical
Durham,2021,548.5,historical
Durham,2022,574.9,historical
Ely,2015,566.5,historical
Ely,2016,564.7,historical
Ely,2017,605.2,historical
Ely,2018,572.2,historical
Ely,2019,614.6,historical
Ely,2020,579.4,historical
Ely,2021,625.6,historical
Ely,2022,638.2,historical
Exeter,2015,473.9,historical
Exeter,2016,525.4,historical
Exeter,2017,507.0,historical
Exeter,2018,526.5,historical
Exeter,2019,570.6,historical
Exeter,2020,557.0,historical
Exeter,2021,591.8,historical
Exeter,2022,629.4,historical
Gloucester,2015,471.8,historical
Gloucester,2016,499.9,historical
Gloucester,2017,502.0,historical
Gloucester,2018,506.0,historical
Gloucester,2019,549.7,historical
Gloucester,2020,515.4,historical
Gloucester,2021,532.1,historical
Gloucester,2022,572.2,historical
Hereford,2015,454.7,historical
Hereford,2016,460.0,historical
Hereford,2017,465.7,historical
Hereford,2018,486.4,historical
Hereford,2019,518.6,historical
Hereford,2020,526.1,historical
Hereford,2021,565.5,historical
Hereford,2022,563.0,historical
Kingston upon Hull,2015,443.6,historical
Kingston upon Hull,2016,452.0,historical
Kingston upon Hull,2017,447.8,historical
Kingston upon Hull,2018,459.9,historical
Kingston upon Hull,2019,479.9,historical
Kingston upon Hull,2020,469.3,historical
Kingston upon Hull,2021,517.7,historical
Kingston upon Hull,2022,536.6,historical
Lancaster,2015,494.3,historical
Lancaster,2016,523.1,historical
Lancaster,2017,512.3,historical
Lancaster,2018,521.5,historical
Lancaster,2019,546.7,historical
Lancaster,2020,561.7,historical
Lancaster,2021,611.8,historical
Lancaster,2022,593.8,historical
Leeds,2015,498.4,historical
Leeds,2016,527.9,historical
Leeds,2017,536.6,historical
Leeds,2018,545.5,historical
Leeds,2019,557.2,historical
Leeds,2020,574.9,historical
Leeds,2021,596.3,historical
Leeds,2022,621.3,historical
Leicester,2015,421.7,historical
Leicester,2016,433.0,historical
Leicester,2017,439.6,historical
Leicester,2018,439.5,historical
Leicester,2019,458.4,historical
Leicester,2020,486.8,historical
Leicester,2021,512.7,historical
Leicester,2022,529.1,historical
Lichfield,2015,593.9,historical
Lichfield,2016,660.5,historical
Lichfield,2017,612.1,historical
