GEOGRAPHY_CODE,City,Year,Forecast_Weekly_Pay,Forecast_City_House_Price_Index,Forecast_Real_Wage_Index
E06000001,Hartlepool,2026,578.7833333331073,133.98002500033908,431.9922565558877
E06000001,Hartlepool,2027,588.7333333330935,137.29614940376723,428.80542235872736
E06000001,Hartlepool,2028,598.6833333330833,140.61227380719447,425.7689013364432
E06000001,Hartlepool,2029,608.6333333330731,143.92839821062262,422.8723037981764
E06000001,Hartlepool,2030,618.5833333330629,147.24452261405077,420.1061760066006
E06000001,Hartlepool,2031,628.5333333330527,150.5606470174789,417.46189710521435
E06000001,Hartlepool,2032,638.4833333330425,153.87677142090706,414.93158937326945
E06000001,Hartlepool,2033,648.4333333330287,157.1928958243343,412.5080398402125
E06000001,Hartlepool,2034,658.3833333330185,160.50902022776245,410.1846316168225
E06000001,Hartlepool,2035,668.3333333330083,163.8251446311906,407.9552835662595
E06000002,Middlesbrough,2026,824.8999999996959,110.49212238910854,746.5690604572983
E06000002,Middlesbrough,2027,846.1999999996842,111.35035117093594,759.9437191721715
E06000002,Middlesbrough,2028,867.4999999996653,112.20857995276356,773.1137853850898
E06000002,Middlesbrough,2029,888.7999999996537,113.06680873459095,786.0839179480085
E06000002,Middlesbrough,2030,910.0999999996347,113.92503751641857,798.8586353271761
E06000002,Middlesbrough,2031,931.3999999996231,114.78326629824596,811.4423208514813
E06000002,Middlesbrough,2032,952.6999999996042,115.64149508007358,823.8392277269734
E06000002,Middlesbrough,2033,973.9999999995925,116.49972386190097,836.0534838298623
E06000002,Middlesbrough,2034,995.2999999995736,117.3579526437286,848.0890962890878
E06000002,Middlesbrough,2035,1016.599999999562,118.21618142555599,859.949955869403
E06000003,Redcar and Cleveland,2026,895.7333333329079,126.01920047772364,710.7911571707252
E06000003,Redcar and Cleveland,2027,919.2333333328861,128.39601032744486,715.9360567268332
E06000003,Redcar and Cleveland,2028,942.7333333328643,130.77282017716607,720.8939380948462
E06000003,Redcar and Cleveland,2029,966.2333333328424,133.14963002688728,725.674816473563
E06000003,Redcar and Cleveland,2030,989.7333333328279,135.52643987660758,730.2880044911885
E06000003,Redcar and Cleveland,2031,1013.2333333328061,137.9032497263288,734.7421727505217
E06000003,Redcar and Cleveland,2032,1036.7333333327842,140.28005957605,739.0454042192221
E06000003,Redcar and Cleveland,2033,1060.2333333327624,142.6568694257703,743.2052431827976
E06000003,Redcar and Cleveland,2034,1083.7333333327406,145.03367927549152,747.2287393841735
E06000003,Redcar and Cleveland,2035,1107.233333332726,147.41048912521273,751.1224878931275
E06000004,Stockton-on-Tees,2026,985.283333332969,129.58086400487446,760.3617562666549
E06000004,Stockton-on-Tees,2027,1011.2333333329516,132.1510764265986,765.2100616029613
E06000004,Stockton-on-Tees,2028,1037.1833333329341,134.72128884832364,769.873375024381
E06000004,Stockton-on-Tees,2029,1063.1333333329094,137.29150127004868,774.3620861438137
E06000004,Stockton-on-Tees,2030,1089.083333332892,139.86171369177373,778.6858208623171
E06000004,Stockton-on-Tees,2031,1115.0333333328745,142.43192611349878,782.8535102757406
E06000004,Stockton-on-Tees,2032,1140.983333332857,145.00213853522382,786.873452253044
E06000004,Stockton-on-Tees,2033,1166.9333333328395,147.57235095694796,790.7533665796752
E06000004,Stockton-on-Tees,2034,1192.883333332822,150.142563378673,794.5004444371069
E06000004,Stockton-on-Tees,2035,1218.8333333328046,152.71277580039805,798.1213928858647
E06000005,Darlington,2026,475.5666666666475,131.39408956399802,361.9391619856794
E06000005,Darlington,2027,481.2666666666464,134.34686442192924,358.2269439167424
E06000005,Darlington,2028,486.9666666666453,137.29963927986137,354.6743962480839
E06000005,Darlington,2029,492.66666666664423,140.25241413779258,351.2714342176087
E06000005,Darlington,2030,498.36666666664314,143.2051889957238,348.0088048216777
E06000005,Darlington,2031,504.06666666664205,146.15796385365502,344.8780027965864
E06000005,Darlington,2032,509.76666666664096,149.11073871158624,341.87119658272536
E06000005,Darlington,2033,515.4666666666399,152.06351356951745,338.981162914527
E06000005,Darlington,2034,521.1666666666388,155.01628842744867,336.2012288860582
E06000005,Darlington,2035,526.8666666666377,157.9690632853799,333.5252205141103
E06000006,Halton,2026,607.5499999998756,142.43963376614556,426.53156564368777
E06000006,Halton,2027,617.999999999869,146.44439328815497,422.00318231633895
E06000006,Halton,2028,628.4499999998625,150.44915281016438,417.71587826276163
E06000006,Halton,2029,638.8999999998559,154.4539123321747,413.6509010052217
E06000006,Halton,2030,649.3499999998494,158.4586718541841,409.7913938073332
E06000006,Halton,2031,659.7999999998428,162.4634313761935,406.12216202182606
E06000006,Halton,2032,670.2499999998363,166.46819089820383,402.6294731644544
E06000006,Halton,2033,680.6999999998297,170.47295042021324,399.30088516794865
E06000006,Halton,2034,691.1499999998232,174.47770994222265,396.12509828831077
E06000006,Halton,2035,701.5999999998166,178.48246946423205,393.0918269485382
E06000007,Warrington,2026,781.0999999998203,158.94929986050738,491.41455840655317
E06000007,Warrington,2027,797.4999999998145,164.48033149885669,484.8604041178978
E06000007,Warrington,2028,813.8999999998086,170.011363137206,478.73270643854477
E06000007,Warrington,2029,830.2999999997955,175.5423947755553,472.9911546788451
E06000007,Warrington,2030,846.6999999997897,181.07342641390278,467.6003634373046
E06000007,Warrington,2031,863.0999999997766,186.60445805225208,462.52914266287013
E06000007,Warrington,2032,879.4999999997708,192.1354896906014,457.74989379423994
E06000007,Warrington,2033,895.8999999997577,197.6665213289507,453.2381072811151
E06000007,Warrington,2034,912.2999999997519,203.1975529673,448.971942170271
E06000007,Warrington,2035,928.6999999997461,208.7285846056493,444.9318725340556
E06000008,Blackburn with Darwen,2026,826.6833333331451,152.96982296149508,540.4224946649996
E06000008,Blackburn with Darwen,2027,846.8333333331393,157.89088125123453,536.3408745471918
E06000008,Blackburn with Darwen,2028,866.9833333331262,162.81193954097216,532.5059917457386
E06000008,Blackburn with Darwen,2029,887.1333333331204,167.7329978307116,528.8961294476356
E06000008,Blackburn with Darwen,2030,907.2833333331073,172.65405612044924,525.4920467667183
E06000008,Blackburn with Darwen,2031,927.4333333331015,177.5751144101887,522.276635672486
E06000008,Blackburn with Darwen,2032,947.5833333330884,182.49617269992632,519.234633424984
E06000008,Blackburn with Darwen,2033,967.7333333330753,187.41723098966577,516.3523803136524
E06000008,Blackburn with Darwen,2034,987.8833333330695,192.3382892794034,513.6176145863523
E06000008,Blackburn with Darwen,2035,1008.0333333330564,197.25934756914285,511.01929807393446
E06000009,Blackpool,2026,323.00000000001944,142.35711659055596,226.89417131777407
E06000009,Blackpool,2027,322.90000000002027,146.27040587344163,220.75552335542494
E06000009,Blackpool,2028,322.8000000000211,150.1836951563264,214.93678102940413
E06000009,Blackpool,2029,322.700000000022,154.09698443921206,209.41357235145648
E06000009,Blackpool,2030,322.6000000000229,158.01027372209683,204.16393972419854
E06000009,Blackpool,2031,322.5000000000237,161.9235630049825,199.168048192035
E06000009,Blackpool,2032,322.40000000002453,165.83685228786726,194.40793499890344
E06000009,Blackpool,2033,322.3000000000254,169.75014157075293,189.86729378702094
E06000009,Blackpool,2034,322.2000000000263,173.6634308536377,185.53128797252322
E06000009,Blackpool,2035,322.10000000002714,177.57672013652336,181.3863887971308
E06000010,"Kingston upon Hull, City of",2026,519.5666666665675,139.69539441080815,371.9282721223119
E06000010,"Kingston upon Hull, City of",2027,527.6666666665624,143.2384864658925,368.3833023411685
E06000010,"Kingston upon Hull, City of",2028,535.7666666665573,146.78157852097684,365.0094733038927
E06000010,"Kingston upon Hull, City of",2029,543.8666666665522,150.32467057606118,361.7946838548812
E06000010,"Kingston upon Hull, City of",2030,551.9666666665471,153.86776263114461,358.7279474451932
E06000010,"Kingston upon Hull, City of",2031,560.066666666542,157.41085468622896,355.79926669157413
E06000010,"Kingston upon Hull, City of",2032,568.1666666665369,160.9539467413133,352.9995245035524
E06000010,"Kingston upon Hull, City of",2033,576.2666666665318,164.49703879639765,350.32038928055863
E06000010,"Kingston upon Hull, City of",2034,584.3666666665267,168.040130851482,347.754232102452
E06000010,"Kingston upon Hull, City of",2035,592.4666666665216,171.58322290656633,345.29405417984395
E06000011,East Riding of Yorkshire,2026,1011.4999999995271,154.49446252025882,654.7160225026767
E06000011,East Riding of Yorkshire,2027,1037.2999999995009,159.40962714465059,650.7135225015237
E06000011,East Riding of Yorkshire,2028,1063.099999999482,164.32479176904235,646.9504622854862
E06000011,East Riding of Yorkshire,2029,1088.8999999994558,169.2399563934341,643.4059800086908
E06000011,East Riding of Yorkshire,2030,1114.6999999994368,174.15512101782406,640.0615689534343
E06000011,East Riding of Yorkshire,2031,1140.4999999994106,179.07028564221582,636.9007543094787
E06000011,East Riding of Yorkshire,2032,1166.2999999993917,183.9854502666076,633.9088217624507
E06000011,East Riding of Yorkshire,2033,1192.0999999993655,188.90061489099935,631.0725884546425
E06000011,East Riding of Yorkshire,2034,1217.8999999993393,193.8157795153911,628.3802087964797
E06000011,East Riding of Yorkshire,2035,1243.6999999993204,198.73094413978288,625.8210090948543
E06000012,North East Lincolnshire,2026,657.9999999998727,145.09357823662504,453.5004291690822
E06000012,North East Lincolnshire,2027,670.9999999998654,149.26412493163662,449.5386954549094
E06000012,North East Lincolnshire,2028,683.9999999998581,153.43467162664638,445.79233151698594
E06000012,North East Lincolnshire,2029,696.9999999998545,157.60521832165796,442.2442400208734
E06000012,North East Lincolnshire,2030,709.9999999998472,161.77576501666772,438.8790866955233
E06000012,North East Lincolnshire,2031,722.9999999998399,165.9463117116793,435.6830787875565
E06000012,North East Lincolnshire,2032,735.9999999998327,170.11685840668906,432.64377610378733
E06000012,North East Lincolnshire,2033,748.9999999998254,174.28740510170064,429.7499291832172
E06000012,North East Lincolnshire,2034,761.9999999998217,178.4579517967104,426.9913401605386
E06000012,North East Lincolnshire,2035,774.9999999998145,182.62849849172198,424.35874269367815
E06000013,North Lincolnshire,2026,475.59999999998854,154.80583118624418,307.22356926452113
E06000013,North Lincolnshire,2027,478.4999999999882,159.96349554379958,299.13074753293955
E06000013,North Lincolnshire,2028,481.3999999999869,165.12115990135317,291.5434946602757
E06000013,North Lincolnshire,2029,484.29999999998654,170.27882425890857,284.4158703278392
E06000013,North Lincolnshire,2030,487.1999999999862,175.43648861646216,277.707336622029
E06000013,North Lincolnshire,2031,490.0999999999849,180.59415297401756,271.38198658651845
E06000013,North Lincolnshire,2032,492.99999999998454,185.75181733157115,265.40790129658245
E06000013,North Lincolnshire,2033,495.8999999999842,190.90948168912655,259.7566111501463
E06000013,North Lincolnshire,2034,498.7999999999829,196.06714604668014,254.402642185258
E06000013,North Lincolnshire,2035,501.69999999998254,201.22481040423554,249.32313216850838
E06000014,York,2026,912.7333333329734,156.03466341687636,584.9554921616566
E06000014,York,2027,935.0333333329545,161.15863480948792,580.1943745914049
E06000014,York,2028,957.3333333329429,166.2826062020995,575.726683144118
E06000014,York,2029,979.6333333329239,171.40657759470923,571.5261030701322
E06000014,York,2030,1001.933333332905,176.5305489873208,567.5693748648956
E06000014,York,2031,1024.233333332886,181.65452037993236,563.835863368933
E06000014,York,2032,1046.5333333328745,186.77849177254393,560.3071977941268
E06000014,York,2033,1068.8333333328555,191.90246316515368,556.9669694197745
E06000014,York,2034,1091.1333333328366,197.02643455776524,553.8004764598898
E06000014,York,2035,1113.4333333328177,202.1504059503768,550.794507732099
E06000015,Derby,2026,1130.7999999998938,155.08067649683653,729.1688594245724
E06000015,Derby,2027,1161.9999999998909,160.2652138927042,725.0481697031504
E06000015,Derby,2028,1193.199999999888,165.44975128857186,721.1857320466737
E06000015,Derby,2029,1224.399999999885,170.63428868443953,717.5580063302602
E06000015,Derby,2030,1255.5999999998749,175.8188260803072,714.1442290294701
E06000015,Derby,2031,1286.799999999872,181.00336347617485,710.9260155650373
E06000015,Derby,2032,1317.999999999869,186.18790087204252,707.8870290855599
E06000015,Derby,2033,1349.1999999998661,191.37243826791018,705.0127030889711
E06000015,Derby,2034,1380.399999999856,196.55697566377785,702.2900079420791
E06000015,Derby,2035,1411.599999999853,201.7415130596455,699.7072534012913
E06000016,Leicester,2026,509.29999999997017,188.97163528520105,269.5113471560539
