City_Code,City,Date,Source_ONS_Geography_Count,Source_Nomis_Geography_Count,Mapping_Source,Proxy_Flag,Proxy_Source,Mean_Price,Median_Price,Sales_Count
E09000033,Westminster,2022-03-01,1,1,identity,False,direct_or_alias,1548332.0777,900000.0,1955.0
E09000001,London,2022-03-01,1,1,identity,False,direct_or_alias,944371.32353,790000.0,136.0
E07000240,St Albans,2022-03-01,1,1,identity,False,direct_or_alias,695906.27431,590000.0,2129.0
E07000178,Oxford,2022-03-01,1,1,identity,False,direct_or_alias,564286.58072,430000.0,1307.0
E07000008,Cambridge,2022-03-01,1,1,identity,False,direct_or_alias,557737.12172,455000.0,1183.0
E07000094,Winchester,2022-03-01,1,1,identity,False,direct_or_alias,555851.64556,460000.0,1848.0
E07000225,Chichester,2022-03-01,1,1,identity,False,direct_or_alias,537749.47479,400000.0,1864.0
E06000022,Bath,2022-03-01,1,1,identity,True,area_to_city,468367.98647,360500.0,2660.0
E06000043,Brighton and Hove,2022-03-01,1,1,identity,False,direct_or_alias,466461.79135,392555.5,4232.0
E07000070,Chelmsford,2022-03-01,1,1,identity,False,direct_or_alias,426686.31644,375000.0,2585.0
E07000106,Canterbury,2022-03-01,1,1,identity,False,direct_or_alias,379320.09043,335000.0,2289.0
E07000165,Ripon,2022-03-01,1,1,identity,True,area_to_city,375030.88575,300000.0,2941.0
E06000023,Bristol,2022-03-01,1,1,identity,False,direct_or_alias,366732.10944,313360.0,6305.0
E06000033,Southend-on-Sea,2022-03-01,1,1,identity,False,direct_or_alias,364650.9973,322000.0,2959.0
E06000054,Salisbury,2022-03-01,1,1,identity,True,area_to_city,357594.68293,297000.0,7541.0
E07000009,Ely,2022-03-01,1,1,identity,True,area_to_city,354331.89992,315250.0,1319.0
E07000194,Lichfield,2022-03-01,1,1,identity,False,direct_or_alias,338801.76446,272500.0,1694.0
E06000042,Milton Keynes,2022-03-01,1,1,identity,False,direct_or_alias,334035.71511,303000.0,3647.0
E07000071,Colchester,2022-03-01,1,1,identity,False,direct_or_alias,330760.29699,300000.0,3027.0
E06000052,Truro,2022-03-01,1,1,identity,True,area_to_city,330048.32134,270000.0,8838.0
E07000041,Exeter,2022-03-01,1,1,identity,False,direct_or_alias,321802.16985,275000.0,1831.0
E06000014,York,2022-03-01,1,1,identity,False,direct_or_alias,321627.68926,275000.0,2980.0
E06000019,Hereford,2022-03-01,1,1,identity,True,area_to_city,311051.44771,265000.0,2754.0
E07000187|E07000188|E07000189,Wells,2022-03-01,3,3,identity,True,area_to_city,310647.3903593119,257937.21262089742,6307.0
E06000050,Chester,2022-03-01,1,1,identity,True,area_to_city,278829.68634,228875.0,5404.0
W06000015,Cardiff,2022-03-01,1,1,identity,False,direct_or_alias,276534.67618,240000.0,4379.0
E06000044,Portsmouth,2022-03-01,1,1,identity,False,direct_or_alias,266401.15667,239997.5,2802.0
E07000148,Norwich,2022-03-01,1,1,identity,False,direct_or_alias,256462.94179,219000.0,1924.0
E08000035,Leeds,2022-03-01,1,1,identity,False,direct_or_alias,254950.31348,215000.0,10326.0
E08000003,Manchester,2022-03-01,1,1,identity,False,direct_or_alias,250518.28799,213000.0,4639.0
E08000025,Birmingham,2022-03-01,1,1,identity,False,direct_or_alias,249484.80263,210000.0,10326.0
E06000045,Southampton,2022-03-01,1,1,identity,False,direct_or_alias,249478.53358,238000.0,2933.0
E07000237,Worcester,2022-03-01,1,1,identity,False,direct_or_alias,245354.53135,221500.0,1515.0
E06000031,Peterborough,2022-03-01,1,1,identity,False,direct_or_alias,245288.40198,220000.0,2530.0
E07000081,Gloucester,2022-03-01,1,1,identity,False,direct_or_alias,237903.76122,224747.5,1960.0
W06000009,St Davids,2022-03-01,1,1,identity,True,area_to_city,235862.42289,200000.0,1887.0
E06000016,Leicester,2022-03-01,1,1,identity,False,direct_or_alias,234391.94802,217000.0,2597.0
E08000006,Salford,2022-03-01,1,1,identity,False,direct_or_alias,228307.98318999997,200000.0,3212.0
W06000022,Newport,2022-03-01,1,1,identity,False,direct_or_alias,227800.17253,197500.0,2104.0
E08000026,Coventry,2022-03-01,1,1,identity,False,direct_or_alias,227278.39559,205000.0,3764.0
E08000019,Sheffield,2022-03-01,1,1,identity,False,direct_or_alias,226762.07099,180000.0,5902.0
W06000002,Bangor,2022-03-01,1,1,identity,True,area_to_city,221394.97628,179000.0,1686.0
E06000026,Plymouth,2022-03-01,1,1,identity,False,direct_or_alias,219029.59276,195000.0,3897.0
E08000021,Newcastle upon Tyne,2022-03-01,1,1,identity,False,direct_or_alias,216831.97959999996,175000.0,3530.0
W06000011,Swansea,2022-03-01,1,1,identity,False,direct_or_alias,214859.25606,174000.0,3136.0
W06000006,Wrexham,2022-03-01,1,1,identity,False,direct_or_alias,208129.56007,176000.0,1698.0
E06000015,Derby,2022-03-01,1,1,identity,False,direct_or_alias,207734.20518,182750.0,3168.0
E07000121,Lancaster,2022-03-01,1,1,identity,False,direct_or_alias,206354.95403,175000.0,2284.0
W06000004,St Asaph,2022-03-01,1,1,identity,True,area_to_city,205078.48526,171000.0,1323.0
E08000036,Wakefield,2022-03-01,1,1,identity,False,direct_or_alias,200524.75325,171500.0,4997.0
E06000018,Nottingham,2022-03-01,1,1,identity,False,direct_or_alias,200235.95072,168000.0,2922.0
E08000031,Wolverhampton,2022-03-01,1,1,identity,False,direct_or_alias,199958.29331,179000.0,2540.0
E07000138,Lincoln,2022-03-01,1,1,identity,False,direct_or_alias,199375.59112999996,175000.0,1465.0
E08000032,Bradford,2022-03-01,1,1,identity,False,direct_or_alias,189456.44017,150000.0,7045.0
E08000012,Liverpool,2022-03-01,1,1,identity,False,direct_or_alias,187991.6979,150750.0,4942.0
E07000123,Preston,2022-03-01,1,1,identity,False,direct_or_alias,182906.7783,155000.0,1917.0
E08000017,Doncaster,2022-03-01,1,1,identity,False,direct_or_alias,175029.55046,150000.0,4142.0
E07000028,Carlisle,2022-03-01,1,1,identity,False,direct_or_alias,171757.84072,143550.0,1940.0
E08000024,Sunderland,2022-03-01,1,1,identity,False,direct_or_alias,154900.42786,132000.0,3216.0
E06000047,Durham,2022-03-01,1,1,identity,True,area_to_city,152404.17837,123000.0,7507.0
E06000021,Stoke on Trent,2022-03-01,1,1,identity,False,direct_or_alias,147750.54119,134950.0,3217.0
E06000010,Kingston upon Hull,2022-03-01,1,1,identity,False,direct_or_alias,134916.58944,125000.0,3125.0
