City_Code,City,Date,Source_ONS_Geography_Count,Source_Nomis_Geography_Count,Mapping_Source,Proxy_Flag,Proxy_Source,House_Price,Median_Price,Sales_Count,Pay_Resident,Resident_Proxy_Flag,Resident_Proxy_Source,Resident_Source_Geography_Count,Resident_Year,Pay_Workplace,Workplace_Proxy_Flag,Workplace_Proxy_Source,Workplace_Source_Geography_Count,Workplace_Year,Pay_Diff_Pct,Any_Proxy_Flag
E09000033,Westminster,2022-03-01,1,1,identity,False,direct_or_alias,1548332.0777,900000.0,1955.0,45338.799999999996,False,direct_or_alias,1.0,2022.0,44844.799999999996,False,direct_or_alias,1.0,2022.0,-1.0895744924876707,False
E09000001,London,2022-03-01,1,1,identity,False,direct_or_alias,944371.32353,790000.0,136.0,52712.4,False,direct_or_alias,1.0,2022.0,57324.8,False,direct_or_alias,1.0,2022.0,8.750123310644177,False
E07000240,St Albans,2022-03-01,1,1,identity,False,direct_or_alias,695906.27431,590000.0,2129.0,44304.0,False,direct_or_alias,1.0,2022.0,32037.2,False,direct_or_alias,1.0,2022.0,-27.687793427230044,False
E07000178,Oxford,2022-03-01,1,1,identity,False,direct_or_alias,564286.58072,430000.0,1307.0,35994.4,False,direct_or_alias,1.0,2022.0,37341.200000000004,False,direct_or_alias,1.0,2022.0,3.7416931522681383,False
E07000008,Cambridge,2022-03-01,1,1,identity,False,direct_or_alias,557737.12172,455000.0,1183.0,38932.4,False,direct_or_alias,1.0,2022.0,36483.200000000004,False,direct_or_alias,1.0,2022.0,-6.290904234005603,False
E07000094,Winchester,2022-03-01,1,1,identity,False,direct_or_alias,555851.64556,460000.0,1848.0,38552.799999999996,False,direct_or_alias,1.0,2022.0,34881.6,False,direct_or_alias,1.0,2022.0,-9.522524952792008,False
E07000225,Chichester,2022-03-01,1,1,identity,False,direct_or_alias,537749.47479,400000.0,1864.0,33191.6,False,direct_or_alias,1.0,2022.0,29733.6,False,direct_or_alias,1.0,2022.0,-10.418298605671316,False
E06000022,Bath,2022-03-01,1,1,identity,True,area_to_city,468367.98647,360500.0,2660.0,36244.0,True,area_to_city,1.0,2022.0,33035.6,True,area_to_city,1.0,2022.0,-8.852223816355814,True
E06000043,Brighton and Hove,2022-03-01,1,1,identity,False,direct_or_alias,466461.79135,392555.5,4232.0,33508.799999999996,False,direct_or_alias,1.0,2022.0,32208.8,False,direct_or_alias,1.0,2022.0,-3.8795779019242604,False
E07000070,Chelmsford,2022-03-01,1,1,identity,False,direct_or_alias,426686.31644,375000.0,2585.0,36025.6,False,direct_or_alias,1.0,2022.0,32037.2,False,direct_or_alias,1.0,2022.0,-11.07101616628175,False
E07000106,Canterbury,2022-03-01,1,1,identity,False,direct_or_alias,379320.09043,335000.0,2289.0,34023.6,False,direct_or_alias,1.0,2022.0,32411.6,False,direct_or_alias,1.0,2022.0,-4.7378878190432525,False
E07000165,Ripon,2022-03-01,1,1,identity,True,area_to_city,375030.88575,300000.0,2941.0,,,,,,,,,,,,True
E06000023,Bristol,2022-03-01,1,1,identity,False,direct_or_alias,366732.10944,313360.0,6305.0,33784.4,False,direct_or_alias,1.0,2022.0,34881.6,False,direct_or_alias,1.0,2022.0,3.247652762813597,False
E06000033,Southend-on-Sea,2022-03-01,1,1,identity,False,direct_or_alias,364650.9973,322000.0,2959.0,36452.0,False,direct_or_alias,1.0,2022.0,30773.6,False,direct_or_alias,1.0,2022.0,-15.577746077032813,False
E06000054,Salisbury,2022-03-01,1,1,identity,True,area_to_city,357594.68293,297000.0,7541.0,33690.799999999996,True,area_to_city,1.0,2022.0,31761.6,True,area_to_city,1.0,2022.0,-5.726192313628639,True
E07000009,Ely,2022-03-01,1,1,identity,True,area_to_city,354331.89992,315250.0,1319.0,33186.4,True,area_to_city,1.0,2022.0,30045.6,True,area_to_city,1.0,2022.0,-9.464117831400824,True
E07000194,Lichfield,2022-03-01,1,1,identity,False,direct_or_alias,338801.76446,272500.0,1694.0,36712.0,False,direct_or_alias,1.0,2022.0,27861.6,False,direct_or_alias,1.0,2022.0,-24.107648725212467,False
E06000042,Milton Keynes,2022-03-01,1,1,identity,False,direct_or_alias,334035.71511,303000.0,3647.0,35926.799999999996,False,direct_or_alias,1.0,2022.0,36784.799999999996,False,direct_or_alias,1.0,2022.0,2.388189318280504,False
E07000071,Colchester,2022-03-01,1,1,identity,False,direct_or_alias,330760.29699,300000.0,3027.0,36743.200000000004,False,direct_or_alias,1.0,2022.0,32884.799999999996,False,direct_or_alias,1.0,2022.0,-10.500990659496201,False
E06000052,Truro,2022-03-01,1,1,identity,True,area_to_city,330048.32134,270000.0,8838.0,29811.6,True,area_to_city,1.0,2022.0,29406.0,True,area_to_city,1.0,2022.0,-1.3605442176870701,True
E07000041,Exeter,2022-03-01,1,1,identity,False,direct_or_alias,321802.16985,275000.0,1831.0,32728.8,False,direct_or_alias,1.0,2022.0,32749.6,False,direct_or_alias,1.0,2022.0,0.06355258976803083,False
E06000014,York,2022-03-01,1,1,identity,False,direct_or_alias,321627.68926,275000.0,2980.0,31772.0,False,direct_or_alias,1.0,2022.0,32354.4,False,direct_or_alias,1.0,2022.0,1.8330605564648166,False
E06000019,Hereford,2022-03-01,1,1,identity,True,area_to_city,311051.44771,265000.0,2754.0,29276.0,True,area_to_city,1.0,2022.0,28272.4,True,area_to_city,1.0,2022.0,-3.428063943161629,True
E07000187|E07000188|E07000189,Wells,2022-03-01,3,3,identity,True,area_to_city,310647.3903593119,257937.21262089745,6307.0,,,,,,,,,,,,True
E06000050,Chester,2022-03-01,1,1,identity,True,area_to_city,278829.68634,228875.0,5404.0,33826.0,True,area_to_city,1.0,2022.0,31428.8,True,area_to_city,1.0,2022.0,-7.086856264411994,True
W06000015,Cardiff,2022-03-01,1,1,identity,False,direct_or_alias,276534.67618,240000.0,4379.0,32583.2,False,direct_or_alias,1.0,2022.0,33597.200000000004,False,direct_or_alias,1.0,2022.0,3.112033195020758,False
E06000044,Portsmouth,2022-03-01,1,1,identity,False,direct_or_alias,266401.15667,239997.5,2802.0,32666.4,False,direct_or_alias,1.0,2022.0,33035.6,False,direct_or_alias,1.0,2022.0,1.1302133078637286,False
E07000148,Norwich,2022-03-01,1,1,identity,False,direct_or_alias,256462.94179,219000.0,1924.0,30908.8,False,direct_or_alias,1.0,2022.0,29312.4,False,direct_or_alias,1.0,2022.0,-5.164872139973075,False
E08000035,Leeds,2022-03-01,1,1,identity,False,direct_or_alias,254950.31348,215000.0,10326.0,32307.6,False,direct_or_alias,1.0,2022.0,32292.0,False,direct_or_alias,1.0,2022.0,-0.04828585224528763,False
E08000003,Manchester,2022-03-01,1,1,identity,False,direct_or_alias,250518.28799,213000.0,4639.0,29894.8,False,direct_or_alias,1.0,2022.0,33930.0,False,direct_or_alias,1.0,2022.0,13.497999652113412,False
E08000025,Birmingham,2022-03-01,1,1,identity,False,direct_or_alias,249484.80263,210000.0,10326.0,31194.8,False,direct_or_alias,1.0,2022.0,34528.0,False,direct_or_alias,1.0,2022.0,10.68511418569762,False
E06000045,Southampton,2022-03-01,1,1,identity,False,direct_or_alias,249478.53358,238000.0,2933.0,33425.6,False,direct_or_alias,1.0,2022.0,35318.4,False,direct_or_alias,1.0,2022.0,5.662725575606729,False
E07000237,Worcester,2022-03-01,1,1,identity,False,direct_or_alias,245354.53135,221500.0,1515.0,33248.799999999996,False,direct_or_alias,1.0,2022.0,35365.200000000004,False,direct_or_alias,1.0,2022.0,6.365342508601842,False
E06000031,Peterborough,2022-03-01,1,1,identity,False,direct_or_alias,245288.40198,220000.0,2530.0,30685.2,False,direct_or_alias,1.0,2022.0,29676.4,False,direct_or_alias,1.0,2022.0,-3.2875783765463455,False
E07000081,Gloucester,2022-03-01,1,1,identity,False,direct_or_alias,237903.76122,224747.5,1960.0,29754.4,False,direct_or_alias,1.0,2022.0,29894.8,False,direct_or_alias,1.0,2022.0,0.47186298497028273,False
W06000009,St Davids,2022-03-01,1,1,identity,True,area_to_city,235862.42289,200000.0,1887.0,31855.2,True,area_to_city,1.0,2022.0,31824.0,True,area_to_city,1.0,2022.0,-0.0979431929480924,True
E06000016,Leicester,2022-03-01,1,1,identity,False,direct_or_alias,234391.94802,217000.0,2597.0,27513.2,False,direct_or_alias,1.0,2022.0,29556.8,False,direct_or_alias,1.0,2022.0,7.427707427707422,False
E08000006,Salford,2022-03-01,1,1,identity,False,direct_or_alias,228307.98319,200000.0,3212.0,31891.6,False,direct_or_alias,1.0,2022.0,32229.6,False,direct_or_alias,1.0,2022.0,1.059840208706995,False
W06000022,Newport,2022-03-01,1,1,identity,False,direct_or_alias,227800.17253,197500.0,2104.0,32354.4,False,direct_or_alias,1.0,2022.0,31616.0,False,direct_or_alias,1.0,2022.0,-2.2822243651559027,False
E08000026,Coventry,2022-03-01,1,1,identity,False,direct_or_alias,227278.39559,205000.0,3764.0,32884.799999999996,False,direct_or_alias,1.0,2022.0,33867.6,False,direct_or_alias,1.0,2022.0,2.9886148007590223,False
E08000019,Sheffield,2022-03-01,1,1,identity,False,direct_or_alias,226762.07099,180000.0,5902.0,30908.8,False,direct_or_alias,1.0,2022.0,29894.8,False,direct_or_alias,1.0,2022.0,-3.280619111709287,False
W06000002,Bangor,2022-03-01,1,1,identity,True,area_to_city,221394.97628,179000.0,1686.0,28215.2,True,area_to_city,1.0,2022.0,29244.8,True,area_to_city,1.0,2022.0,3.649096940656095,True
E06000026,Plymouth,2022-03-01,1,1,identity,False,direct_or_alias,219029.59276,195000.0,3897.0,28631.2,False,direct_or_alias,1.0,2022.0,30836.0,False,direct_or_alias,1.0,2022.0,7.70069015619324,False
E08000021,Newcastle upon Tyne,2022-03-01,1,1,identity,False,direct_or_alias,216831.9796,175000.0,3530.0,32255.6,False,direct_or_alias,1.0,2022.0,31735.6,False,direct_or_alias,1.0,2022.0,-1.6121231662098987,False
W06000011,Swansea,2022-03-01,1,1,identity,False,direct_or_alias,214859.25606,174000.0,3136.0,30929.6,False,direct_or_alias,1.0,2022.0,30258.8,False,direct_or_alias,1.0,2022.0,-2.1687962340282425,False
W06000006,Wrexham,2022-03-01,1,1,identity,False,direct_or_alias,208129.56007,176000.0,1698.0,32214.0,False,direct_or_alias,1.0,2022.0,31912.4,False,direct_or_alias,1.0,2022.0,-0.9362389023405927,False
E06000015,Derby,2022-03-01,1,1,identity,False,direct_or_alias,207734.20518,182750.0,3168.0,31116.8,False,direct_or_alias,1.0,2022.0,36374.0,False,direct_or_alias,1.0,2022.0,16.895053475935832,False
E07000121,Lancaster,2022-03-01,1,1,identity,False,direct_or_alias,206354.95403,175000.0,2284.0,30877.6,False,direct_or_alias,1.0,2022.0,30508.4,False,direct_or_alias,1.0,2022.0,-1.195688784102382,False
W06000004,St Asaph,2022-03-01,1,1,identity,True,area_to_city,205078.48526,171000.0,1323.0,28126.8,True,area_to_city,1.0,2022.0,28251.6,True,area_to_city,1.0,2022.0,0.44370493621741286,True
E08000036,Wakefield,2022-03-01,1,1,identity,False,direct_or_alias,200524.75325,171500.0,4997.0,29822.0,False,direct_or_alias,1.0,2022.0,31460.0,False,direct_or_alias,1.0,2022.0,5.492589363557106,False
E06000018,Nottingham,2022-03-01,1,1,identity,False,direct_or_alias,200235.95072,168000.0,2922.0,27840.8,False,direct_or_alias,1.0,2022.0,29005.6,False,direct_or_alias,1.0,2022.0,4.183787822189014,False
E08000031,Wolverhampton,2022-03-01,1,1,identity,False,direct_or_alias,199958.29331,179000.0,2540.0,29707.6,False,direct_or_alias,1.0,2022.0,30659.2,False,direct_or_alias,1.0,2022.0,3.203220724663057,False
E07000138,Lincoln,2022-03-01,1,1,identity,False,direct_or_alias,199375.59113,175000.0,1465.0,31642.0,False,direct_or_alias,1.0,2022.0,31236.4,False,direct_or_alias,1.0,2022.0,-1.2818405916187299,False
