Region,Year,Forecast_Weekly_Pay,Forecast_CPI_Proxy,Forecast_Real_Wage_Index
East Midlands,2026,329.7869565217352,128.99837734567154,255.65201927929598
East Midlands,2027,335.9994130434752,130.55856101593463,257.3553280833622
East Midlands,2028,342.21186956521524,132.11874468619772,259.01840830990403
East Midlands,2029,348.42432608695344,133.6789283564608,260.64266849736
East Midlands,2030,354.63678260869347,135.23911202672434,262.22945218585465
East Midlands,2031,360.84923913043167,136.79929569698743,263.7800416236925
East Midlands,2032,367.0616956521717,138.35947936725051,265.2956612230898
East Midlands,2033,373.2741521739099,139.9196630375136,266.7774807846929
East Midlands,2034,379.4866086956499,141.4798467077767,268.22661850876233
East Midlands,2035,385.69906521738994,143.04003037804023,269.6441438092726
London,2026,414.43405797101695,124.29565462640494,333.4260229906509
London,2027,421.89944927536635,126.18191550132633,334.35809529372034
London,2028,429.3648405797139,128.06817637624818,335.26271141574944
London,2029,436.8302318840615,129.95443725116957,336.1410669185366
London,2030,444.2956231884091,131.8406981260914,336.9942889436828
London,2031,451.76101449275666,133.7269590010128,337.8234410380447
London,2032,459.22640579710605,135.6132198759342,338.6295275764631
London,2033,466.69179710145363,137.49948075085604,339.4134978204622
London,2034,474.1571884058012,139.38574162577743,340.1762496474119
London,2035,481.6225797101488,141.27200250069927,340.91863298091556
North East,2026,320.4152173913044,114.726057220445,279.28722136387
North East,2027,326.75693478260837,115.53123858996469,282.82994172884355
North East,2028,333.09865217391416,116.33641995948415,286.3236227227214
North East,2029,339.44036956521813,117.14160132900383,289.7692755726176
North East,2030,345.7820869565221,117.94678269852352,293.1678838924791
North East,2031,352.1238043478261,118.75196406804321,296.5204046192146
North East,2032,358.4655217391319,119.5571454375629,299.82776891100633
North East,2033,364.80723913043585,120.36232680708258,303.09088300955744
North East,2034,371.1489565217398,121.16750817660227,306.31062906797445
North East,2035,377.4906739130456,121.97268954612196,309.48786594584664
North West,2026,332.8329710144935,119.55778285788278,278.3867039506152
North West,2027,339.24377536231987,120.59376568505036,281.3112049658591
North West,2028,345.6545797101444,121.62974851221793,284.18588703685657
North West,2029,352.06538405797073,122.6657313393855,287.01201241273617
North West,2030,358.4761884057971,123.70171416655307,289.7908010580529
North West,2031,364.8869927536234,124.73769699372065,292.52343240872244
North West,2032,371.29779710144976,125.77367982088822,295.2110470411675
North West,2033,377.7086014492761,126.80966264805579,297.85474825964855
North West,2034,384.11940579710244,127.84564547522336,300.4556036064171
North West,2035,390.5302101449288,128.88162830239094,303.0146462990365
Northern Ireland,2026,326.5086956521736,127.04361547731855,257.00519811675713
Northern Ireland,2027,333.19289130434845,128.10543261780845,260.09270996211444
Northern Ireland,2028,339.87708695652327,129.16724975829834,263.1294601321245
Northern Ireland,2029,346.5612826086963,130.2290668987887,266.1166902762472
Northern Ireland,2030,353.2454782608711,131.29088403927858,269.05560187650946
Northern Ireland,2031,359.9296739130441,132.35270117976893,271.9473578587317
Northern Ireland,2032,366.6138695652189,133.41451832025882,274.7930841268488
Northern Ireland,2033,373.2980652173919,134.47633546074871,277.59387102450535
Northern Ireland,2034,379.98226086956674,135.53815260123906,280.35077472798093
