GEOGRAPHY_NAME,GEOGRAPHY_CODE
Aberdeen City,S12000033
Aberdeenshire,S12000034
Anglesey,W06000001
Angus,S12000041
Antrim,95T
Ards,95X
Argyll and Bute,S12000035
Armagh,95O
Ballymena,95G
Ballymoney,95D
Banbridge,95Q
Barking and Dagenham,E09000002
Barnet,E09000003
Barnsley,E08000016
Bath and North East Somerset,E06000022
Bedfordshire,E10000001
Belfast,95Z
Bexley,E09000004
Birmingham,E08000025
Blackburn with Darwen,E06000008
Blackpool,E06000009
Blaenau Gwent,W06000019
Bolton,E08000001
Bournemouth,E06000028
Bracknell Forest,E06000036
Bradford,E08000032
Brent,E09000005
Bridgend,W06000013
Brighton and Hove,E06000043
Bristol,E06000023
Bromley,E09000006
Buckinghamshire,E10000002
Bury,E08000002
Caerphilly,W06000018
Calderdale,E08000033
Cambridgeshire,E10000003
Camden,E09000007
Cardiff,W06000015
Carmarthenshire,W06000010
Carrickfergus,95V
Castlereagh,95Y
Ceredigion,W06000008
Cheshire,E10000004
City of London,E09000001
Clackmannanshire,S12000005
Coleraine,95C
Conwy,W06000003
Cookstown,95I
Cornwall and Isles of Scilly,E10000005
Coventry,E08000026
Craigavon,95N
Croydon,E09000008
Cumbria,E10000006
Darlington,E06000005
Denbighshire,W06000004
Derby City,E06000015
Derbyshire,E10000007
Derry,95A
Devon,E10000008
Doncaster,E08000017
Dorset,E10000009
Down,95R
Dudley,E08000027
Dumfries and Galloway,S12000006
Dundee City,S12000042
Dungannon,95M
Durham,E10000010
Ealing,E09000009
East Ayrshire,S12000008
East Dunbartonshire,S12000009
East Lothian,S12000010
East Renfrewshire,S12000011
East Riding of Yorkshire,E06000011
East Sussex,E10000011
"Edinburgh, City of",S12000036
Eilean Siar,S12000013
Enfield,E09000010
Essex,E10000012
Falkirk,S12000014
Fermanagh,95L
Fife,S12000015
Flintshire,W06000005
Gateshead,E08000020
Glasgow City,S12000043
Gloucestershire,E10000013
Greenwich,E09000011
Gwynedd,W06000002
Hackney,E09000012
Halton,E06000006
Hammersmith and Fulham,E09000013
Hampshire,E10000014
Haringey,E09000014
Harrow,E09000015
Hartlepool,E06000001
Havering,E09000016
"Herefordshire, County of",E06000019
Hertfordshire,E10000015
Highland,S12000017
Hillingdon,E09000017
Hounslow,E09000018
Inverclyde,S12000018
Isle of Wight,E06000046
Islington,E09000019
Kensington and Chelsea,E09000020
Kent,E10000016
Kingston upon Hull,E06000010
Kingston-upon-Thames,E09000021
Kirklees,E08000034
Knowsley,E08000011
Lambeth,E09000022
Lancashire,E10000017
Larne,95F
Leeds,E08000035
Leicester City,E06000016
Leicestershire,E10000018
Lewisham,E09000023
Limavady,95B
Lincolnshire,E10000019
Lisburn,95S
Liverpool,E08000012
Luton,E06000032
Magherafelt,95H
Manchester,E08000003
Medway,E06000035
Merthyr Tydfil,W06000024
Merton,E09000024
Middlesbrough,E06000002
Midlothian,S12000019
Milton Keynes,E06000042
Monmouthshire,W06000021
Moray,S12000020
Moyle,95E
Neath Port Talbot,W06000012
Newcastle-upon-Tyne,E08000021
Newham,E09000025
Newport,W06000022
Newry and Mourne,95P
Newtownabbey,95U
Norfolk,E10000020
North Ayrshire,S12000021
North Down,95W
North East Lincolnshire,E06000012
North Lanarkshire,S12000044
North Lincolnshire,E06000013
North Somerset,E06000024
North Tyneside,E08000022
North Yorkshire,E10000023
Northamptonshire,E10000021
Northumberland,E10000022
Nottingham City,E06000018
Nottinghamshire,E10000024
Oldham,E08000004
Omagh,95K
Orkney Islands,S12000023
Oxfordshire,E10000025
Pembrokeshire,W06000009
Perthshire and Kinross,S12000024
Peterborough,E06000031
Plymouth,E06000026
Poole,E06000029
Portsmouth,E06000044
Powys,W06000023
Reading,E06000038
Redbridge,E09000026
Redcar and Cleveland,E06000003
Renfrewshire,S12000038
"Rhondda, Cynon, Taff",W06000016
Richmond-upon-Thames,E09000027
Rochdale,E08000005
Rotherham,E08000018
Rutland,E06000017
Salford,E08000006
Sandwell,E08000028
Scottish Borders,S12000026
Sefton,E08000014
Sheffield,E08000019
Shetland Islands,S12000027
Shropshire,E10000026
Slough,E06000039
Solihull,E08000029
Somerset,E10000027
South Ayrshire,S12000028
South Gloucestershire,E06000025
South Lanarkshire,S12000029
South Tyneside,E08000023
Southampton,E06000045
Southend-on-sea,E06000033
Southwark,E09000028
St Helens,E08000013
Staffordshire,E10000028
Stirling,S12000030
Stockport,E08000007
Stockton on Tees,E06000004
Stoke on Trent,E06000021
Strabane,95J
Suffolk,E10000029
Sunderland,E08000024
Surrey,E10000030
Sutton,E09000029
Swansea,W06000011
Swindon,E06000030
Tameside,E08000008
Telford and Wrekin,E06000020
Thurrock,E06000034
Torbay,E06000027
Torfaen,W06000020
Tower Hamlets,E09000030
Trafford,E08000009
Vale of Glamorgan,W06000014
Wakefield,E08000036
Walsall,E08000030
Waltham Forest,E09000031
Wandsworth,E09000032
Warrington,E06000007
Warwickshire,E10000031
West Berkshire,E06000037
West Dunbartonshire,S12000039
West Lothian,S12000040
West Sussex,E10000032
"Westminster, City of",E09000033
Wigan,E08000010
Wiltshire,E10000033
Windsor and Maidenhead,E06000040
Wirral,E08000015
Wokingham,E06000041
Wolverhampton,E08000031
Worcestershire,E10000034
Wrexham,W06000006
York,E06000014
