ons_geography,ons_geography_code,lookup_parent_geography,nomis_geography,mapped,mapping_type,mapping_source
Adur,E07000223,West Sussex,West Sussex,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Allerdale,E07000026,Cumberland,Cumbria,True,lookup_parent_manual_one_to_one,manual_successor_override
Amber Valley,E07000032,Derbyshire,Derbyshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Arun,E07000224,West Sussex,West Sussex,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Ashfield,E07000170,Nottinghamshire,Nottinghamshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Ashford,E07000105,Kent,Kent,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Babergh,E07000200,Suffolk,Suffolk,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Barking and Dagenham,E09000002,,Barking and Dagenham,True,direct_name_match,dataset_name_overlap
Barnet,E09000003,,Barnet,True,direct_name_match,dataset_name_overlap
Barnsley,E08000016,,Barnsley,True,direct_name_match,dataset_name_overlap
Barrow-in-Furness,E07000027,Westmorland and Furness,Cumbria,True,lookup_parent_manual_one_to_one,manual_successor_override
Basildon,E07000066,Essex,Essex,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Basingstoke and Deane,E07000084,Hampshire,Hampshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Bassetlaw,E07000171,Nottinghamshire,Nottinghamshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Bath and North East Somerset,E06000022,,Bath and North East Somerset,True,direct_name_match,dataset_name_overlap
Bedford,E06000055,,Bedfordshire,True,manual_one_to_one,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Bexley,E09000004,,Bexley,True,direct_name_match,dataset_name_overlap
Birmingham,E08000025,,Birmingham,True,direct_name_match,dataset_name_overlap
Blaby,E07000129,Leicestershire,Leicestershire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Blackburn with Darwen,E06000008,,Blackburn with Darwen,True,direct_name_match,dataset_name_overlap
Blackpool,E06000009,,Blackpool,True,direct_name_match,dataset_name_overlap
Blaenau Gwent,W06000019,,Blaenau Gwent,True,direct_name_match,dataset_name_overlap
Bolsover,E07000033,Derbyshire,Derbyshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Bolton,E08000001,,Bolton,True,direct_name_match,dataset_name_overlap
Boston,E07000136,Lincolnshire,Lincolnshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
"Bournemouth, Christchurch and Poole",E06000058,,Bournemouth|Poole,True,manual_one_to_many,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Bracknell Forest,E06000036,,Bracknell Forest,True,direct_name_match,dataset_name_overlap
Bradford,E08000032,,Bradford,True,direct_name_match,dataset_name_overlap
Braintree,E07000067,Essex,Essex,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
