nomis_dataset,DATE,DATE_NAME,DATE_CODE,DATE_TYPE,DATE_TYPECODE,DATE_SORTORDER,GEOGRAPHY,GEOGRAPHY_NAME,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,GEOGRAPHY_SORTORDER,SEX,SEX_NAME,SEX_CODE,SEX_TYPE,SEX_TYPECODE,SEX_SORTORDER,PAY,PAY_NAME,PAY_CODE,PAY_TYPE,PAY_TYPECODE,PAY_SORTORDER,ITEM,ITEM_NAME,ITEM_CODE,ITEM_TYPE,ITEM_TYPECODE,ITEM_SORTORDER,MEASURES,MEASURES_NAME,OBS_VALUE,OBS_STATUS,OBS_STATUS_NAME,OBS_CONF,OBS_CONF_NAME,URN,RECORD_OFFSET,RECORD_COUNT,GEOGRAPHY_CODE_REGION,GEOGRAPHY_CODE_REGION_CODE
NM_30_1,2002,2002,2002,date,0,0,2021654666,Darlington,E06000005,pre-2009 local authorities: county / unitary,482,0,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20100,Value,335.0,A,Normal Value,F,Free (free for publication),Nm-30d1d32032e0d2021654666d8d1d2d20100,0,2290,North East,E12000001
NM_30_1,2002,2002,2002,date,0,0,2021654666,Darlington,E06000005,pre-2009 local authorities: county / unitary,482,0,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20701,Confidence,7.4,A,Normal Value,F,Free (free for publication),Nm-30d1d32032e0d2021654666d8d1d2d20701,1,2290,North East,E12000001
NM_30_1,2002,2002,2002,date,0,0,2021654668,Hartlepool,E06000001,pre-2009 local authorities: county / unitary,482,1,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20100,Value,344.8,A,Normal Value,F,Free (free for publication),Nm-30d1d32032e0d2021654668d8d1d2d20100,2,2290,North East,E12000001
NM_30_1,2002,2002,2002,date,0,0,2021654668,Hartlepool,E06000001,pre-2009 local authorities: county / unitary,482,1,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20701,Confidence,10.0,A,Normal Value,F,Free (free for publication),Nm-30d1d32032e0d2021654668d8d1d2d20701,3,2290,North East,E12000001
NM_30_1,2002,2002,2002,date,0,0,2021654669,Middlesbrough,E06000002,pre-2009 local authorities: county / unitary,482,2,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20100,Value,313.4,A,Normal Value,F,Free (free for publication),Nm-30d1d32032e0d2021654669d8d1d2d20100,4,2290,North East,E12000001
NM_30_1,2002,2002,2002,date,0,0,2021654669,Middlesbrough,E06000002,pre-2009 local authorities: county / unitary,482,2,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20701,Confidence,7.2,A,Normal Value,F,Free (free for publication),Nm-30d1d32032e0d2021654669d8d1d2d20701,5,2290,North East,E12000001
NM_30_1,2002,2002,2002,date,0,0,2021654671,Redcar and Cleveland,E06000003,pre-2009 local authorities: county / unitary,482,3,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20100,Value,336.5,A,Normal Value,F,Free (free for publication),Nm-30d1d32032e0d2021654671d8d1d2d20100,6,2290,North East,E12000001
NM_30_1,2002,2002,2002,date,0,0,2021654671,Redcar and Cleveland,E06000003,pre-2009 local authorities: county / unitary,482,3,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20701,Confidence,7.6,A,Normal Value,F,Free (free for publication),Nm-30d1d32032e0d2021654671d8d1d2d20701,7,2290,North East,E12000001
NM_30_1,2002,2002,2002,date,0,0,2021654672,Stockton on Tees,E06000004,pre-2009 local authorities: county / unitary,482,4,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20100,Value,362.3,A,Normal Value,F,Free (free for publication),Nm-30d1d32032e0d2021654672d8d1d2d20100,8,2290,North East,E12000001
NM_30_1,2002,2002,2002,date,0,0,2021654672,Stockton on Tees,E06000004,pre-2009 local authorities: county / unitary,482,4,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20701,Confidence,6.3,A,Normal Value,F,Free (free for publication),Nm-30d1d32032e0d2021654672d8d1d2d20701,9,2290,North East,E12000001
