dataset,date,description
NM_99_1,1997,1997
NM_99_1,1998,1998
NM_99_1,1999,1999
NM_99_1,2000,2000
NM_99_1,2001,2001
NM_99_1,2002,2002
NM_99_1,2003,2003
NM_99_1,2004,2004
NM_99_1,2005,2005
NM_99_1,2006,2006
NM_99_1,2007,2007
NM_99_1,2008,2008
NM_99_1,2009,2009
NM_99_1,2010,2010
NM_99_1,2011,2011
NM_99_1,2012,2012
NM_99_1,2013,2013
NM_99_1,2014,2014
NM_99_1,2015,2015
NM_99_1,2016,2016
NM_99_1,2017,2017
NM_99_1,2018,2018
NM_99_1,2019,2019
NM_99_1,2020,2020
NM_99_1,2021,2021
NM_99_1,2022,2022
NM_99_1,2023,2023
NM_99_1,2024,2024
NM_99_1,2025,2025
