id,title,description,release_frequency,next_release,keywords
wellbeing-quarterly,Quarterly personal well-being estimates,"Seasonally and non seasonally-adjusted quarterly estimates of life satisfaction, feeling that the things done in life are worthwhile, happiness and anxiety in the UK.",Quarterly,TBC,well-being
wellbeing-local-authority,Personal well-being estimates by local authority,"Estimates of life satisfaction, feeling that the things done in life are worthwhile, happiness and anxiety at the UK, country, regional, county, local and unitary authority level.",Annual,TBC,well-being
weekly-deaths-region,Deaths registered weekly in England and Wales by region,"Provisional counts of the number of deaths registered in England and Wales, by region, in the latest weeks for which data are available.",Weekly,24 June 2026,Deaths|weekly deaths
weekly-deaths-local-authority,Death registrations and occurrences by local authority and place of death,"Provisional counts of the number of deaths registered in England and Wales, including deaths involving the coronavirus (COVID-19), by local authority, health board and place of death in the latest weeks for which data are available.",Weekly,17 January 2024,Deaths|weekly deaths
weekly-deaths-health-board,Death registrations and occurrences by health board and place of death,"Provisional counts of the number of deaths registered in Wales, by health board and place of death, in the latest weeks for which data are available.",Weekly,17 January 2024,Deaths|weekly deaths
weekly-deaths-age-sex,Deaths registered weekly in England and Wales by age and sex,"Provisional counts of the number of deaths registered in England and Wales, by age and sex, in the latest weeks for which data are available.",Weekly,24 June 2026,Deaths|weekly deaths
uk-spending-on-cards,UK spending on credit and debit cards,These data series are experimental faster indicators for monitoring UK spending using debit and credit cards.,Weekly,To be announced,
uk-business-by-enterprises-and-local-units,"UK Business: Activity, Size and Location","The data contained in these tables are numbers of enterprises and local units produced from a snapshot of the Inter-Departmental Business Register (IDBR) taken on 12 March 2021. This dataset contains details of the number of VAT and/or PAYE based enterprises and local units in districts, counties an",Annual,To be announced,"enterprises|local units,IDBR,business counts,Inter-Departmental Business Register"
traffic-camera-activity,Traffic Camera Activity,Experimental dataset for business indices covering the UK as part of the real-time indicators release to help better understand economic activity and social change in the UK.,Weekly,To be announced,
trade,Trade in goods: country by commodity,"Country by commodity data on the UK's trade in goods, including trade by all countries and selected commodities, exports and imports, non seasonally adjusted.",Monthly,12 February 2026,trade
tax-benefits-statistics,Effects of Taxes and Benefits on Household Income,"Estimates of mean and median annual incomes in the UK, by quintile groups.
The redistribution effects on individuals of direct and indirect taxation and benefits received in cash or kind.",Annual,TBA,
suicides-in-the-uk,Suicide registrations in England and Wales by local authority,"Number of suicides by local authority in England and Wales, registered from 2001.

If you are struggling to cope, please call Samaritans for free on 116 123 (UK and ROI) or contact other sources of support, such as those listed on the NHS’s help for suicidal thoughts webpage. Support is available ro",Annually,To be announced,suicide|mortality
sexual-orientation-by-region,Sexual orientation by English regions and UK countries,"Sexual orientation in the UK from 2012 to 2020 by region.

Data source: Annual Population Survey, ONS
",Annual,To be announced,"gay|lesbian,bisexual,straight,LGB"
sexual-orientation-by-age-and-sex,Sexual orientation by age and sex,"Sexual orientation in the UK by sex and age, 2014 to 2020.

Source: Annual Population Survey, ONS",Annual,To be announced,
retail-sales-index-large-and-small-businesses,Retail sales index - large and small businesses,Value and volume of retail sales broken down by size of business,Monthly,27 March 2026,"RSI|internet sales,goods bought,buying,spending"
retail-sales-index-all-businesses,Retail sales index - all businesses,Value and volume of retail sales for all businesses.,Monthly,27 March 2026,"RSI|internet sales,goods bought,buying,spending"
retail-sales-index,Retail sales index,"Retail sales data for Great Britain in value and volume terms, seasonally and non-seasonally adjusted.",Monthly,27 March 2026,"RSI|internet sales,goods bought,buying,spending"
regional-gdp-by-year,"Annual GDP for England, Wales and the English regions","Annual economic activity within England, Wales and the nine English regions (North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, Greater London, South East, South West).",Annual,TBA,regional GDP
regional-gdp-by-quarter,"Quarterly GDP for England, Wales and the English regions","Quarterly economic activity within England, Wales and the nine English regions (North East, North West, Yorkshire and The Humber, East Midlands, West Midlands, East of England, London, South East, South West).",To be announced,To be announced,regional GDP
projections-older-people-sex-ratios,"Local authority ageing statistics, projected sex ratios for older people","Projected indicators included are derived from the published 2018-based subnational population projections for England, Wales, Scotland and Northern Ireland up to the year 2043. The indicators are the projected sex ratio for those aged 65 years and over and the projected sex ratio for those aged 85 ",Biennial,To be announced,
projections-older-people-in-single-households,"Local authority ageing statistics, household projections for older people","Projected indicators included are derived from the published 2018-based household projections for England and 2018-based household projections for Scotland for the years 2018 up to 2043. The indicators are the percentage of one-person households, in which the householder is aged 65 years and over an",Biennial,To be announced,
output-in-the-construction-industry,Output in the construction industry,"Monthly construction output for Great Britain at current price and chained volume measures, seasonally adjusted by public and private sector.",Monthly,14 May 2026,"infrastructure|public housing,private housing,non–housing,repairs and maintenance"
online-job-advert-estimates,Faster Indicators - Online Job Advert Estimates,Experimental job advert indices covering the UK job market.,Weekly,To be announced,
older-people-sex-ratios,"Local authority ageing statistics, sex ratios for people aged 65 and over and 85 and over","Both indicators included have been derived from the published 2019 mid-year population estimates for the UK, England, Wales, Scotland and Northern Ireland. These are sex ratios for people aged 65 years and over and 85 years and over. A sex ratio shows the number of males in the population for every ",Annual,1 June 2021,ageing|population
older-people-net-internal-migration,"Local authority ageing statistics, net internal migration people aged 65 and over and 85 and over",Figures presented show the movement of older people between local authorities and regions. Both indicators included in this dataset have been derived from the published 2019 internal migration dataset for England and Wales. The numbers presented are the net number of people aged 65 years and over an,Annual,1 June 2021,ageing|population
older-people-economic-activity,"Local authority ageing statistics, older people economic activity","Indicators included are economic activity and employment rates for those aged 50-64 years, by country, region and local authority. Both economic activity and employment rates are displayed as percentages. These have been calculated from the ONS Annual Population Survey and have been extracted from N",Quarterly but updated on CMD annually,1 June 2021,ageing|population
mid-year-pop-est,"Population Estimates for UK, England and Wales, Scotland and Northern Ireland","Estimates of the usual resident population for the UK as at 30 June of the reference year. Provided by administrative area, single year of age and sex.",Annually,Summer 2025,Population
life-expectancy-by-local-authority,Life Expectancy by Local Authority,Subnational trends in the average number of years people will live beyond their current age measured by “period life expectancy”.,Annual,To be announced,life expectancy
labour-market,UK Labour Market,"The LFS is a data source compiled from a survey of the UK population. It uses internationally recognised definitions of employment, unemployment and economic activity. It also captures other personal characteristics of household members over the age of 16 such as occupation, education and training. ", ,TBD,labour market
index-private-housing-rental-prices,Index of Private Housing Rental Prices,An experimental price index tracking the prices paid for renting property from private landlords in the United Kingdom,Monthly,TBC,"private renting|regions,IPHRP,rent,inflation"
house-prices-local-authority,House price statistics for small areas in England and Wales,"Summary statistics for housing transactions by local authority in England and Wales, on an annual basis, updated quarterly using HM Land Registry Price Paid Data. Select values from the Year and Month dimensions for data for a 12-month period ending that month and year (e.g. selecting June and 2018 ",Quarterly,December 2022,house prices
health-accounts,Expenditure on healthcare: UK Health Accounts,"Healthcare expenditure statistics, produced to the international definitions of the System of Health Accounts 2011.

Subcategories may not sum to aggregates due to rounding.",Annual,To be announced,
gva-by-industry-by-local-authority,GVA by industry by local authority,"Gross value added (balanced) in current basic prices and as chained volume measures, with a breakdown by 24 industry sectors, for each local authority district, metropolitan district, London borough and Scottish Council area in the UK.",Annual,TBA,
