Region,Year_Start,Pay_Start,CPI_Start,Real_Wage_Start,Year_End,Pay_End,CPI_End,Real_Wage_End,Pay_Change_%,CPI_Change_%,Real_Wage_Change_%,Wage_vs_Inflation
East Midlands,2002,185.3,102.70301213380903,180.4231406169252,2025,360.79999999999995,146.8989804249103,245.610962687674,94.7,43.0,36.1,51.7
London,2002,240.29999999999998,87.2017552651054,275.5678475386817,2025,451.70000000000005,134.06744297815607,336.9199784571088,88.0,53.7,22.3,34.3
North East,2002,172.4,100.47075450067682,171.5922218926291,2025,346.7,128.2047577654149,270.426781379191,101.1,27.6,57.6,73.5
North West,2002,185.54999999999998,102.41559698791218,181.1735765421549,2025,367.75,135.72669351006394,270.9489124722042,98.2,32.5,49.6,65.7
Northern Ireland,2002,171.95,115.31095653381769,149.11852712762084,2025,358.45,151.41415308446562,236.73480496901797,108.5,31.3,58.8,77.2
Scotland,2002,185.15,108.56628111010485,170.5409802259194,2025,388.1,130.9701753185947,296.32700655391034,109.6,20.6,73.8,89.0
South East,2002,217.9,96.10204428304462,226.73815278916427,2025,407.95000000000005,140.48321170153318,290.3905705592207,87.2,46.2,28.1,41.0
South West,2002,184.10000000000002,97.02177274991456,189.75122261942192,2025,367.35,142.9167791483314,257.0376985747296,99.5,47.3,35.5,52.2
Wales,2002,177.5,111.32546651071463,159.4424039381109,2025,360.15,132.18695904199382,272.4550156915144,102.9,18.7,70.9,84.2
West Midlands,2002,183.45,101.85034720098169,180.11720631447372,2025,365.9,140.15136159515157,261.0748806400879,99.5,37.6,44.9,61.9
Yorkshire and The Humber,2002,180.4,99.01451776146608,182.19550433462504,2025,356.2,137.82841085048057,258.437282851947,97.5,39.2,41.8,58.3
