Region,Time,Regional_Rental_Price_Index,National_CPIH_Index,Regional_CPI_Proxy,median_weekly_pay,Real_Wage_Index
North East,Sep-23,113.7,111.79824205843978,104.39195282270411,346.7,332.11372201152705
Scotland,Sep-23,115.2,111.79824205843978,105.76915536653927,388.1,366.93117067547075
East of England,Sep-23,125.8,111.79824205843978,115.50138667630762,,
West Midlands,Sep-23,124.3,111.79824205843978,114.12418413247248,365.9,320.6156545884021
Wales,Sep-23,117.1,111.79824205843978,107.51361192206377,360.15,334.9808396922535
North West,Sep-23,120.0,111.79824205843978,110.17620350681172,367.75,333.7835106809281
South West,Sep-23,126.6,111.79824205843978,116.23589469968636,367.35,316.03834680251424
Yorkshire and The Humber,Sep-23,122.0,111.79824205843978,112.01247356525859,356.2,318.0002982368544
London,Sep-23,118.2,111.79824205843978,108.52356045420954,451.70000000000005,416.2229824652597
East Midlands,Sep-23,129.7,111.79824205843978,119.082113290279,360.79999999999995,302.98420982880987
England,Sep-23,122.0,111.79824205843978,112.01247356525859,,
South East,Sep-23,124.4,111.79824205843978,114.21599763539483,407.95000000000005,357.1741336115414
Northern Ireland,Sep-23,140.0,111.79824205843978,128.53890409128033,358.45,278.8649884127308
United Kingdom,Sep-23,121.8,111.79824205843978,111.8288465594139,,
Great Britain,Sep-23,121.5,111.79824205843978,111.55340605064687,,
