Year,Region,Regional_CPIU_Proxy,National_CPIU,Region_City_Count,Regional_CPIU_YoY_Change_Pct,National_CPIU_YoY_Change_Pct
2015,England,102.82959891443615,100.001,309,,
2016,England,103.32105398190878,100.3471,309,0.4779315223057079,0.3460965390346127
2017,England,106.22767293695996,103.0775,309,2.8131913516485474,2.7209555632399907
2018,England,108.83047896170395,105.5975,309,2.4502146689107995,2.4447624360311337
2019,England,110.6495779688984,107.4138,309,1.6714977500324801,1.7200217808186702
2020,England,111.34010089007316,108.1375,309,0.6240628602929288,0.6737495554574924
2021,England,114.19324127940007,111.048,309,2.56254518050405,2.6914807536700946
2022,England,124.98287024943396,121.6811,309,9.448570553868919,9.575228729918583
2015,Wales,60.27204251996523,100.001,22,,
2016,Wales,58.576564526826566,100.3471,22,-2.8130422037332403,0.3460965390346127
2017,Wales,58.83188920360813,103.0775,22,0.4358819586707474,2.7209555632399907
2018,Wales,60.1888409469761,105.5975,22,2.3064901735039722,2.4447624360311337
2019,Wales,61.965827618654245,107.4138,22,2.9523523691768583,1.7200217808186702
2020,Wales,63.155514771245436,108.1375,22,1.919908437135187,0.6737495554574924
2021,Wales,66.87165657569889,111.048,22,5.884112920167994,2.6914807536700946
2022,Wales,75.30623604204138,121.6811,22,12.61308586963823,9.575228729918583
