Region,Pay_Resident,Pay_Workplace,Pay_Difference,Pay_Difference_Percent
East,41854.799999999996,39863.200000000004,-1991.5999999999913,-4.758355075164596
East Midlands,37481.6,36597.6,-884.0,-2.358490566037736
London,46940.4,49826.4,2886.0,6.148222000664672
North East,35989.200000000004,35422.4,-566.8000000000029,-1.5749169195203083
North West,38209.6,38178.4,-31.19999999999709,-0.08165487207402614
Northern Ireland,37211.200000000004,37081.200000000004,-130.0,-0.349357182783678
Scotland,40331.200000000004,40237.6,-93.60000000000582,-0.23207839092317067
South East,42390.4,40341.6,-2048.800000000003,-4.833169774288525
South West,38168.0,37892.4,-275.59999999999854,-0.7220708446866447
Wales,37403.6,36623.6,-780.0,-2.0853607674127623
West Midlands,38012.0,37980.799999999996,-31.200000000004366,-0.08207934336526455
Yorkshire and The Humber,37003.200000000004,36826.4,-176.8000000000029,-0.4777965148960168
