city_name,year_num,model_version,k_value,cluster_id,Pay_Resident,Pay_Workplace,Pay_Diff_Pct,House_Price,pca_x,pca_y,run_ts_utc
Bangor,2022,kmeans_city_power_v1_k4,4,0,28215.2,29244.8,3.649096940656095,221394.97628,-1.3604124854755837,0.35878392482944843,2026-08-24T11:02:29+00:00
Bath,2022,kmeans_city_power_v1_k4,4,2,36244.0,33035.6,-8.852223816355814,468367.98647,1.1009591779973245,-0.9764835102978424,2026-08-24T11:02:29+00:00
Birmingham,2022,kmeans_city_power_v1_k4,4,3,31194.8,34528.0,10.68511418569762,249484.80263,-0.3624557712711738,1.6235173397123062,2026-08-24T11:02:29+00:00
Bradford,2022,kmeans_city_power_v1_k4,4,0,29645.2,31075.2,4.8237151376951415,189456.44017,-1.0466649541727735,0.6528778677054266,2026-08-24T11:02:29+00:00
Brighton and Hove,2022,kmeans_city_power_v1_k4,4,2,33508.799999999996,32208.8,-3.8795779019242604,466461.79135,0.5242142932008758,-0.41493452526898095,2026-08-24T11:02:29+00:00
Bristol,2022,kmeans_city_power_v1_k4,4,3,33784.4,34881.6,3.247652762813597,366732.10944,0.48945489184674684,0.7011900031207297,2026-08-24T11:02:29+00:00
Cambridge,2022,kmeans_city_power_v1_k4,4,2,38932.4,36483.200000000004,-6.290904234005603,557737.12172,2.0816428486014478,-0.4251760741772169,2026-08-24T11:02:29+00:00
Canterbury,2022,kmeans_city_power_v1_k4,4,2,34023.6,32411.6,-4.7378878190432525,379320.09043,0.40471888196759626,-0.4817859062005437,2026-08-24T11:02:29+00:00
Cardiff,2022,kmeans_city_power_v1_k4,4,3,32583.2,33597.200000000004,3.112033195020758,276534.67618,-0.0700014643767125,0.6115543451022097,2026-08-24T11:02:29+00:00
Chelmsford,2022,kmeans_city_power_v1_k4,4,2,36025.6,32037.2,-11.07101616628175,426686.31644,0.8800349115522319,-1.3167199320468204,2026-08-24T11:02:29+00:00
Chester,2022,kmeans_city_power_v1_k4,4,2,33826.0,31428.8,-7.086856264411994,278829.68634,0.034876096621393404,-0.8190873491738289,2026-08-24T11:02:29+00:00
Chichester,2022,kmeans_city_power_v1_k4,4,2,33191.6,29733.6,-10.418298605671316,537749.47479,0.4907726000370223,-1.433713693826022,2026-08-24T11:02:29+00:00
Colchester,2022,kmeans_city_power_v1_k4,4,2,36743.200000000004,32884.799999999996,-10.500990659496201,330760.29699,0.8169756106162208,-1.1558864184425472,2026-08-24T11:02:29+00:00
Coventry,2022,kmeans_city_power_v1_k4,4,3,32884.799999999996,33867.6,2.9886148007590223,227278.39559,-0.1238641433958209,0.6311538793510418,2026-08-24T11:02:29+00:00
Derby,2022,kmeans_city_power_v1_k4,4,3,31116.8,36374.0,16.895053475935832,207734.20518,-0.37577938111017356,2.541787032970147,2026-08-24T11:02:29+00:00
Doncaster,2022,kmeans_city_power_v1_k4,4,0,30903.6,29692.0,-3.920578832239605,175029.55046,-0.9154090283894796,-0.5249362538346417,2026-08-24T11:02:29+00:00
Durham,2022,kmeans_city_power_v1_k4,4,0,29894.8,28626.0,-4.244216385458338,152404.17837,-1.2386343006879652,-0.6381453296429417,2026-08-24T11:02:29+00:00
Ely,2022,kmeans_city_power_v1_k4,4,2,33186.4,30045.6,-9.464117831400824,354331.89992,0.023105175794252194,-1.239223039279247,2026-08-24T11:02:29+00:00
Exeter,2022,kmeans_city_power_v1_k4,4,0,32728.8,32749.6,0.06355258976803083,321802.16985,0.024246547345259474,0.15676999909287417,2026-08-24T11:02:29+00:00
Gloucester,2022,kmeans_city_power_v1_k4,4,0,29754.4,29894.8,0.47186298497028273,237903.76122,-0.9649877383535119,0.014126067078465879,2026-08-24T11:02:29+00:00
Hereford,2022,kmeans_city_power_v1_k4,4,0,29276.0,28272.4,-3.428063943161629,311051.44771,-0.9612346564048266,-0.6093514092804354,2026-08-24T11:02:29+00:00
Kingston upon Hull,2022,kmeans_city_power_v1_k4,4,0,27903.2,30092.4,7.845695117405891,134916.58944,-1.6088027968543968,0.9616860591577686,2026-08-24T11:02:29+00:00
Lancaster,2022,kmeans_city_power_v1_k4,4,0,30877.6,30508.4,-1.195688784102382,206354.95403,-0.7875090977967955,-0.1357731981154596,2026-08-24T11:02:29+00:00
Leeds,2022,kmeans_city_power_v1_k4,4,0,32307.6,32292.0,-0.04828585224528763,254950.31348,-0.2651271258110321,0.12729285307870003,2026-08-24T11:02:29+00:00
Leicester,2022,kmeans_city_power_v1_k4,4,0,27513.2,29556.8,7.427707427707422,234391.94802,-1.4559508854721057,0.8405303501223519,2026-08-24T11:02:29+00:00
Lichfield,2022,kmeans_city_power_v1_k4,4,2,36712.0,27861.6,-24.107648725212467,338801.76446,0.4768071473844657,-3.2401517970184788,2026-08-24T11:02:29+00:00
Lincoln,2022,kmeans_city_power_v1_k4,4,0,31642.0,31236.4,-1.2818405916187299,199375.59113,-0.6101250692317759,-0.08938544571805528,2026-08-24T11:02:29+00:00
Liverpool,2022,kmeans_city_power_v1_k4,4,0,31600.4,32058.0,1.4480829356590377,187991.6979,-0.5972397661380424,0.31355173575425405,2026-08-24T11:02:29+00:00
London,2022,kmeans_city_power_v1_k4,4,1,52712.4,57324.8,8.750123310644177,944371.32353,7.27115733886875,2.9701884263085403,2026-08-24T11:02:29+00:00
Manchester,2022,kmeans_city_power_v1_k4,4,3,29894.8,33930.0,13.497999652113412,250518.28799,-0.6651357048511529,1.9200701975276397,2026-08-24T11:02:29+00:00
Milton Keynes,2022,kmeans_city_power_v1_k4,4,3,35926.799999999996,36784.799999999996,2.388189318280504,334035.71511,0.9466675360931761,0.7498216048221953,2026-08-24T11:02:29+00:00
Newcastle upon Tyne,2022,kmeans_city_power_v1_k4,4,0,32255.6,31735.6,-1.6121231662098987,216831.9796,-0.4119815243498458,-0.09755043445800825,2026-08-24T11:02:29+00:00
Newport,2022,kmeans_city_power_v1_k4,4,0,32354.4,31616.0,-2.2822243651559027,227800.17253,-0.37120500377907006,-0.1927450956611457,2026-08-24T11:02:29+00:00
Norwich,2022,kmeans_city_power_v1_k4,4,0,30908.8,29312.4,-5.164872139973075,256462.94179,-0.7213314908739503,-0.7305517056088118,2026-08-24T11:02:29+00:00
Nottingham,2022,kmeans_city_power_v1_k4,4,0,27840.8,29005.6,4.183787822189014,200235.95072,-1.5075362193415742,0.41177920711281335,2026-08-24T11:02:29+00:00
Oxford,2022,kmeans_city_power_v1_k4,4,3,35994.4,37341.200000000004,3.7416931522681383,564286.58072,1.6098770309708614,0.8951433897864894,2026-08-24T11:02:29+00:00
