City,geography,Ethnic group (20 categories) Code,Ethnic group (20 categories),Proxy_Flag,Proxy_Source,Observation,Source_Area_Count,Source_Areas
Bangor,Wales,-8,Does not apply,True,area_to_city,0,1,Gwynedd
Bangor,Wales,1,"Asian, Asian British or Asian Welsh: Bangladeshi",True,area_to_city,199,1,Gwynedd
Bangor,Wales,2,"Asian, Asian British or Asian Welsh: Chinese",True,area_to_city,580,1,Gwynedd
Bangor,Wales,3,"Asian, Asian British or Asian Welsh: Indian",True,area_to_city,484,1,Gwynedd
Bangor,Wales,4,"Asian, Asian British or Asian Welsh: Pakistani",True,area_to_city,209,1,Gwynedd
Bangor,Wales,5,"Asian, Asian British or Asian Welsh: Other Asian",True,area_to_city,496,1,Gwynedd
Bangor,Wales,6,"Black, Black British, Black Welsh, Caribbean or African: African",True,area_to_city,373,1,Gwynedd
Bangor,Wales,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",True,area_to_city,82,1,Gwynedd
Bangor,Wales,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",True,area_to_city,58,1,Gwynedd
Bangor,Wales,9,Mixed or Multiple ethnic groups: White and Asian,True,area_to_city,438,1,Gwynedd
Bangor,Wales,10,Mixed or Multiple ethnic groups: White and Black African,True,area_to_city,179,1,Gwynedd
Bangor,Wales,11,Mixed or Multiple ethnic groups: White and Black Caribbean,True,area_to_city,371,1,Gwynedd
Bangor,Wales,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,True,area_to_city,345,1,Gwynedd
Bangor,Wales,13,"White: English, Welsh, Scottish, Northern Irish or British",True,area_to_city,109548,1,Gwynedd
Bangor,Wales,14,White: Irish,True,area_to_city,554,1,Gwynedd
Bangor,Wales,15,White: Gypsy or Irish Traveller,True,area_to_city,111,1,Gwynedd
Bangor,Wales,16,White: Roma,True,area_to_city,45,1,Gwynedd
Bangor,Wales,17,White: Other White,True,area_to_city,2729,1,Gwynedd
Bangor,Wales,18,Other ethnic group: Arab,True,area_to_city,314,1,Gwynedd
Bangor,Wales,19,Other ethnic group: Any other ethnic group,True,area_to_city,277,1,Gwynedd
Bath,South West,-8,Does not apply,True,area_to_city,0,1,Bath and North East Somerset
Bath,South West,1,"Asian, Asian British or Asian Welsh: Bangladeshi",True,area_to_city,359,1,Bath and North East Somerset
Bath,South West,2,"Asian, Asian British or Asian Welsh: Chinese",True,area_to_city,2089,1,Bath and North East Somerset
Bath,South West,3,"Asian, Asian British or Asian Welsh: Indian",True,area_to_city,1787,1,Bath and North East Somerset
Bath,South West,4,"Asian, Asian British or Asian Welsh: Pakistani",True,area_to_city,278,1,Bath and North East Somerset
Bath,South West,5,"Asian, Asian British or Asian Welsh: Other Asian",True,area_to_city,1876,1,Bath and North East Somerset
Bath,South West,6,"Black, Black British, Black Welsh, Caribbean or African: African",True,area_to_city,980,1,Bath and North East Somerset
Bath,South West,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",True,area_to_city,616,1,Bath and North East Somerset
Bath,South West,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",True,area_to_city,250,1,Bath and North East Somerset
Bath,South West,9,Mixed or Multiple ethnic groups: White and Asian,True,area_to_city,1846,1,Bath and North East Somerset
Bath,South West,10,Mixed or Multiple ethnic groups: White and Black African,True,area_to_city,595,1,Bath and North East Somerset
Bath,South West,11,Mixed or Multiple ethnic groups: White and Black Caribbean,True,area_to_city,1505,1,Bath and North East Somerset
Bath,South West,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,True,area_to_city,1310,1,Bath and North East Somerset
Bath,South West,13,"White: English, Welsh, Scottish, Northern Irish or British",True,area_to_city,165478,1,Bath and North East Somerset
Bath,South West,14,White: Irish,True,area_to_city,1427,1,Bath and North East Somerset
Bath,South West,15,White: Gypsy or Irish Traveller,True,area_to_city,71,1,Bath and North East Somerset
Bath,South West,16,White: Roma,True,area_to_city,218,1,Bath and North East Somerset
Bath,South West,17,White: Other White,True,area_to_city,11114,1,Bath and North East Somerset
Bath,South West,18,Other ethnic group: Arab,True,area_to_city,552,1,Bath and North East Somerset
Bath,South West,19,Other ethnic group: Any other ethnic group,True,area_to_city,1058,1,Bath and North East Somerset
Birmingham,West Midlands,-8,Does not apply,False,direct_or_alias,0,1,Birmingham
Birmingham,West Midlands,1,"Asian, Asian British or Asian Welsh: Bangladeshi",False,direct_or_alias,48232,1,Birmingham
Birmingham,West Midlands,2,"Asian, Asian British or Asian Welsh: Chinese",False,direct_or_alias,12487,1,Birmingham
Birmingham,West Midlands,3,"Asian, Asian British or Asian Welsh: Indian",False,direct_or_alias,66519,1,Birmingham
Birmingham,West Midlands,4,"Asian, Asian British or Asian Welsh: Pakistani",False,direct_or_alias,195102,1,Birmingham
Birmingham,West Midlands,5,"Asian, Asian British or Asian Welsh: Other Asian",False,direct_or_alias,33044,1,Birmingham
Birmingham,West Midlands,6,"Black, Black British, Black Welsh, Caribbean or African: African",False,direct_or_alias,66822,1,Birmingham
Birmingham,West Midlands,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",False,direct_or_alias,44718,1,Birmingham
Birmingham,West Midlands,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",False,direct_or_alias,14220,1,Birmingham
Birmingham,West Midlands,9,Mixed or Multiple ethnic groups: White and Asian,False,direct_or_alias,13130,1,Birmingham
Birmingham,West Midlands,10,Mixed or Multiple ethnic groups: White and Black African,False,direct_or_alias,4680,1,Birmingham
Birmingham,West Midlands,11,Mixed or Multiple ethnic groups: White and Black Caribbean,False,direct_or_alias,25119,1,Birmingham
Birmingham,West Midlands,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,False,direct_or_alias,12276,1,Birmingham
Birmingham,West Midlands,13,"White: English, Welsh, Scottish, Northern Irish or British",False,direct_or_alias,491211,1,Birmingham
Birmingham,West Midlands,14,White: Irish,False,direct_or_alias,16964,1,Birmingham
Birmingham,West Midlands,15,White: Gypsy or Irish Traveller,False,direct_or_alias,686,1,Birmingham
Birmingham,West Midlands,16,White: Roma,False,direct_or_alias,1833,1,Birmingham
Birmingham,West Midlands,17,White: Other White,False,direct_or_alias,45914,1,Birmingham
Birmingham,West Midlands,18,Other ethnic group: Arab,False,direct_or_alias,19196,1,Birmingham
Birmingham,West Midlands,19,Other ethnic group: Any other ethnic group,False,direct_or_alias,32769,1,Birmingham
Bradford,Yorkshire and The Humber,-8,Does not apply,False,direct_or_alias,0,1,Bradford
Bradford,Yorkshire and The Humber,1,"Asian, Asian British or Asian Welsh: Bangladeshi",False,direct_or_alias,12403,1,Bradford
Bradford,Yorkshire and The Humber,2,"Asian, Asian British or Asian Welsh: Chinese",False,direct_or_alias,1345,1,Bradford
Bradford,Yorkshire and The Humber,3,"Asian, Asian British or Asian Welsh: Indian",False,direct_or_alias,14429,1,Bradford
Bradford,Yorkshire and The Humber,4,"Asian, Asian British or Asian Welsh: Pakistani",False,direct_or_alias,139553,1,Bradford
Bradford,Yorkshire and The Humber,5,"Asian, Asian British or Asian Welsh: Other Asian",False,direct_or_alias,7934,1,Bradford
Bradford,Yorkshire and The Humber,6,"Black, Black British, Black Welsh, Caribbean or African: African",False,direct_or_alias,7061,1,Bradford
Bradford,Yorkshire and The Humber,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",False,direct_or_alias,2614,1,Bradford
Bradford,Yorkshire and The Humber,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",False,direct_or_alias,1303,1,Bradford
Bradford,Yorkshire and The Humber,9,Mixed or Multiple ethnic groups: White and Asian,False,direct_or_alias,6458,1,Bradford
Bradford,Yorkshire and The Humber,10,Mixed or Multiple ethnic groups: White and Black African,False,direct_or_alias,1196,1,Bradford
Bradford,Yorkshire and The Humber,11,Mixed or Multiple ethnic groups: White and Black Caribbean,False,direct_or_alias,4426,1,Bradford
Bradford,Yorkshire and The Humber,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,False,direct_or_alias,2926,1,Bradford
Bradford,Yorkshire and The Humber,13,"White: English, Welsh, Scottish, Northern Irish or British",False,direct_or_alias,309912,1,Bradford
Bradford,Yorkshire and The Humber,14,White: Irish,False,direct_or_alias,2139,1,Bradford
Bradford,Yorkshire and The Humber,15,White: Gypsy or Irish Traveller,False,direct_or_alias,849,1,Bradford
Bradford,Yorkshire and The Humber,16,White: Roma,False,direct_or_alias,1583,1,Bradford
Bradford,Yorkshire and The Humber,17,White: Other White,False,direct_or_alias,19521,1,Bradford
Bradford,Yorkshire and The Humber,18,Other ethnic group: Arab,False,direct_or_alias,2734,1,Bradford
Bradford,Yorkshire and The Humber,19,Other ethnic group: Any other ethnic group,False,direct_or_alias,8026,1,Bradford
Brighton and Hove,South East,-8,Does not apply,False,direct_or_alias,0,1,Brighton and Hove
Brighton and Hove,South East,1,"Asian, Asian British or Asian Welsh: Bangladeshi",False,direct_or_alias,1729,1,Brighton and Hove
Brighton and Hove,South East,2,"Asian, Asian British or Asian Welsh: Chinese",False,direct_or_alias,3065,1,Brighton and Hove
Brighton and Hove,South East,3,"Asian, Asian British or Asian Welsh: Indian",False,direct_or_alias,3633,1,Brighton and Hove
Brighton and Hove,South East,4,"Asian, Asian British or Asian Welsh: Pakistani",False,direct_or_alias,929,1,Brighton and Hove
Brighton and Hove,South East,5,"Asian, Asian British or Asian Welsh: Other Asian",False,direct_or_alias,3861,1,Brighton and Hove
Brighton and Hove,South East,6,"Black, Black British, Black Welsh, Caribbean or African: African",False,direct_or_alias,3949,1,Brighton and Hove
Brighton and Hove,South East,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",False,direct_or_alias,988,1,Brighton and Hove
Brighton and Hove,South East,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",False,direct_or_alias,521,1,Brighton and Hove
Brighton and Hove,South East,9,Mixed or Multiple ethnic groups: White and Asian,False,direct_or_alias,4198,1,Brighton and Hove
Brighton and Hove,South East,10,Mixed or Multiple ethnic groups: White and Black African,False,direct_or_alias,2334,1,Brighton and Hove
