City,geography,Religion (10 categories) Code,Religion (10 categories),Proxy_Flag,Proxy_Source,Observation,Source_Area_Count,Source_Areas
Bangor,Wales,-8,Does not apply,True,area_to_city,0,1,Gwynedd
Bangor,Wales,1,No religion,True,area_to_city,51941,1,Gwynedd
Bangor,Wales,2,Christian,True,area_to_city,54249,1,Gwynedd
Bangor,Wales,3,Buddhist,True,area_to_city,426,1,Gwynedd
Bangor,Wales,4,Hindu,True,area_to_city,255,1,Gwynedd
Bangor,Wales,5,Jewish,True,area_to_city,59,1,Gwynedd
Bangor,Wales,6,Muslim,True,area_to_city,1137,1,Gwynedd
Bangor,Wales,7,Sikh,True,area_to_city,46,1,Gwynedd
Bangor,Wales,8,Other religion,True,area_to_city,770,1,Gwynedd
Bangor,Wales,9,Not answered,True,area_to_city,8512,1,Gwynedd
Bath,South West,-8,Does not apply,True,area_to_city,0,1,Bath and North East Somerset
Bath,South West,1,No religion,True,area_to_city,92567,1,Bath and North East Somerset
Bath,South West,2,Christian,True,area_to_city,81553,1,Bath and North East Somerset
Bath,South West,3,Buddhist,True,area_to_city,996,1,Bath and North East Somerset
Bath,South West,4,Hindu,True,area_to_city,875,1,Bath and North East Somerset
Bath,South West,5,Jewish,True,area_to_city,325,1,Bath and North East Somerset
Bath,South West,6,Muslim,True,area_to_city,1909,1,Bath and North East Somerset
Bath,South West,7,Sikh,True,area_to_city,162,1,Bath and North East Somerset
Bath,South West,8,Other religion,True,area_to_city,1097,1,Bath and North East Somerset
Bath,South West,9,Not answered,True,area_to_city,13930,1,Bath and North East Somerset
Birmingham,West Midlands,-8,Does not apply,False,direct_or_alias,0,1,Birmingham
Birmingham,West Midlands,1,No religion,False,direct_or_alias,276327,1,Birmingham
Birmingham,West Midlands,2,Christian,False,direct_or_alias,389406,1,Birmingham
Birmingham,West Midlands,3,Buddhist,False,direct_or_alias,4340,1,Birmingham
Birmingham,West Midlands,4,Hindu,False,direct_or_alias,21997,1,Birmingham
Birmingham,West Midlands,5,Jewish,False,direct_or_alias,1687,1,Birmingham
Birmingham,West Midlands,6,Muslim,False,direct_or_alias,341811,1,Birmingham
Birmingham,West Midlands,7,Sikh,False,direct_or_alias,33126,1,Birmingham
Birmingham,West Midlands,8,Other religion,False,direct_or_alias,6367,1,Birmingham
Birmingham,West Midlands,9,Not answered,False,direct_or_alias,69856,1,Birmingham
Bradford,Yorkshire and The Humber,-8,Does not apply,False,direct_or_alias,0,1,Bradford
Bradford,Yorkshire and The Humber,1,No religion,False,direct_or_alias,154305,1,Bradford
Bradford,Yorkshire and The Humber,2,Christian,False,direct_or_alias,182566,1,Bradford
Bradford,Yorkshire and The Humber,3,Buddhist,False,direct_or_alias,959,1,Bradford
Bradford,Yorkshire and The Humber,4,Hindu,False,direct_or_alias,4757,1,Bradford
Bradford,Yorkshire and The Humber,5,Jewish,False,direct_or_alias,254,1,Bradford
Bradford,Yorkshire and The Humber,6,Muslim,False,direct_or_alias,166846,1,Bradford
Bradford,Yorkshire and The Humber,7,Sikh,False,direct_or_alias,4834,1,Bradford
Bradford,Yorkshire and The Humber,8,Other religion,False,direct_or_alias,2074,1,Bradford
Bradford,Yorkshire and The Humber,9,Not answered,False,direct_or_alias,29816,1,Bradford
Brighton and Hove,South East,-8,Does not apply,False,direct_or_alias,0,1,Brighton and Hove
Brighton and Hove,South East,1,No religion,False,direct_or_alias,152966,1,Brighton and Hove
Brighton and Hove,South East,2,Christian,False,direct_or_alias,85629,1,Brighton and Hove
Brighton and Hove,South East,3,Buddhist,False,direct_or_alias,2455,1,Brighton and Hove
Brighton and Hove,South East,4,Hindu,False,direct_or_alias,2100,1,Brighton and Hove
Brighton and Hove,South East,5,Jewish,False,direct_or_alias,2455,1,Brighton and Hove
Brighton and Hove,South East,6,Muslim,False,direct_or_alias,8500,1,Brighton and Hove
Brighton and Hove,South East,7,Sikh,False,direct_or_alias,378,1,Brighton and Hove
Brighton and Hove,South East,8,Other religion,False,direct_or_alias,2860,1,Brighton and Hove
Brighton and Hove,South East,9,Not answered,False,direct_or_alias,19760,1,Brighton and Hove
Bristol,South West,-8,Does not apply,False,direct_or_alias,0,1,Bristol
Bristol,South West,1,No religion,False,direct_or_alias,242864,1,Bristol
Bristol,South West,2,Christian,False,direct_or_alias,152126,1,Bristol
Bristol,South West,3,Buddhist,False,direct_or_alias,2710,1,Bristol
Bristol,South West,4,Hindu,False,direct_or_alias,3545,1,Bristol
Bristol,South West,5,Jewish,False,direct_or_alias,1228,1,Bristol
Bristol,South West,6,Muslim,False,direct_or_alias,31776,1,Bristol
Bristol,South West,7,Sikh,False,direct_or_alias,2247,1,Bristol
Bristol,South West,8,Other religion,False,direct_or_alias,3546,1,Bristol
Bristol,South West,9,Not answered,False,direct_or_alias,32423,1,Bristol
