City,geography,Sex (2 categories) Code,Sex (2 categories),Proxy_Flag,Proxy_Source,Observation,Source_Area_Count,Source_Areas
Bangor,Wales,1,Female,True,area_to_city,59868,1,Gwynedd
Bangor,Wales,2,Male,True,area_to_city,57525,1,Gwynedd
Bath,South West,1,Female,True,area_to_city,99019,1,Bath and North East Somerset
Bath,South West,2,Male,True,area_to_city,94390,1,Bath and North East Somerset
Birmingham,West Midlands,1,Female,False,direct_or_alias,584496,1,Birmingham
Birmingham,West Midlands,2,Male,False,direct_or_alias,560423,1,Birmingham
Bradford,Yorkshire and The Humber,1,Female,False,direct_or_alias,278968,1,Bradford
Bradford,Yorkshire and The Humber,2,Male,False,direct_or_alias,267444,1,Bradford
Brighton and Hove,South East,1,Female,False,direct_or_alias,141540,1,Brighton and Hove
Brighton and Hove,South East,2,Male,False,direct_or_alias,135563,1,Brighton and Hove
Bristol,South West,1,Female,False,direct_or_alias,237942,1,Bristol
Bristol,South West,2,Male,False,direct_or_alias,234523,1,Bristol
Cambridge,East,1,Female,False,direct_or_alias,72693,1,Cambridge
Cambridge,East,2,Male,False,direct_or_alias,72981,1,Cambridge
Canterbury,South East,1,Female,False,direct_or_alias,81846,1,Canterbury
Canterbury,South East,2,Male,False,direct_or_alias,75583,1,Canterbury
Cardiff,Wales,1,Female,False,direct_or_alias,185460,1,Cardiff
Cardiff,Wales,2,Male,False,direct_or_alias,176850,1,Cardiff
Carlisle,North West,1,Female,False,direct_or_alias,56145,1,Carlisle
Carlisle,North West,2,Male,False,direct_or_alias,53879,1,Carlisle
Chelmsford,East,1,Female,False,direct_or_alias,92489,1,Chelmsford
Chelmsford,East,2,Male,False,direct_or_alias,89034,1,Chelmsford
Chester,North West,1,Female,True,area_to_city,182842,1,Cheshire West and Chester
Chester,North West,2,Male,True,area_to_city,174308,1,Cheshire West and Chester
Chichester,South East,1,Female,False,direct_or_alias,64553,1,Chichester
Chichester,South East,2,Male,False,direct_or_alias,59515,1,Chichester
Colchester,East,1,Female,False,direct_or_alias,98448,1,Colchester
Colchester,East,2,Male,False,direct_or_alias,94267,1,Colchester
Coventry,West Midlands,1,Female,False,direct_or_alias,173137,1,Coventry
Coventry,West Midlands,2,Male,False,direct_or_alias,172187,1,Coventry
Derby,East Midlands,1,Female,False,direct_or_alias,131854,1,Derby
Derby,East Midlands,2,Male,False,direct_or_alias,129510,1,Derby
Doncaster,Yorkshire and The Humber,1,Female,False,direct_or_alias,155280,1,Doncaster
Doncaster,Yorkshire and The Humber,2,Male,False,direct_or_alias,152826,1,Doncaster
Durham,North East,1,Female,True,area_to_city,266764,1,County Durham
Durham,North East,2,Male,True,area_to_city,255304,1,County Durham
Ely,East,1,Female,True,area_to_city,44712,1,East Cambridgeshire
Ely,East,2,Male,True,area_to_city,43050,1,East Cambridgeshire
Exeter,South West,1,Female,False,direct_or_alias,67044,1,Exeter
Exeter,South West,2,Male,False,direct_or_alias,63665,1,Exeter
Gloucester,South West,1,Female,False,direct_or_alias,66916,1,Gloucester
Gloucester,South West,2,Male,False,direct_or_alias,65500,1,Gloucester
Hereford,West Midlands,1,Female,True,area_to_city,95180,1,Herefordshire
Hereford,West Midlands,2,Male,True,area_to_city,91854,1,Herefordshire
Kingston upon Hull,Yorkshire and The Humber,1,Female,False,direct_or_alias,133781,1,Kingston upon Hull
Kingston upon Hull,Yorkshire and The Humber,2,Male,False,direct_or_alias,133233,1,Kingston upon Hull
Lancaster,North West,1,Female,False,direct_or_alias,73002,1,Lancaster
Lancaster,North West,2,Male,False,direct_or_alias,69929,1,Lancaster
Leeds,Yorkshire and The Humber,1,Female,False,direct_or_alias,415579,1,Leeds
Leeds,Yorkshire and The Humber,2,Male,False,direct_or_alias,396374,1,Leeds
Leicester,East Midlands,1,Female,False,direct_or_alias,186460,1,Leicester
Leicester,East Midlands,2,Male,False,direct_or_alias,182112,1,Leicester
Lichfield,West Midlands,1,Female,False,direct_or_alias,53993,1,Lichfield
Lichfield,West Midlands,2,Male,False,direct_or_alias,52443,1,Lichfield
Lincoln,East Midlands,1,Female,False,direct_or_alias,52410,1,Lincoln
Lincoln,East Midlands,2,Male,False,direct_or_alias,51403,1,Lincoln
Liverpool,North West,1,Female,False,direct_or_alias,249460,1,Liverpool
Liverpool,North West,2,Male,False,direct_or_alias,236628,1,Liverpool
London,London,1,Female,False,direct_or_alias,3861,1,City of London
London,London,2,Male,False,direct_or_alias,4722,1,City of London
Manchester,North West,1,Female,False,direct_or_alias,277877,1,Manchester
Manchester,North West,2,Male,False,direct_or_alias,274061,1,Manchester
Milton Keynes,South East,1,Female,False,direct_or_alias,145486,1,Milton Keynes
Milton Keynes,South East,2,Male,False,direct_or_alias,141574,1,Milton Keynes
Newcastle upon Tyne,North East,1,Female,False,direct_or_alias,151802,1,Newcastle upon Tyne
Newcastle upon Tyne,North East,2,Male,False,direct_or_alias,148323,1,Newcastle upon Tyne
Newport,Wales,1,Female,False,direct_or_alias,81166,1,Newport
Newport,Wales,2,Male,False,direct_or_alias,78421,1,Newport
Norwich,East,1,Female,False,direct_or_alias,72851,1,Norwich
Norwich,East,2,Male,False,direct_or_alias,71071,1,Norwich
Nottingham,East Midlands,1,Female,False,direct_or_alias,164628,1,Nottingham
Nottingham,East Midlands,2,Male,False,direct_or_alias,159004,1,Nottingham
Oxford,South East,1,Female,False,direct_or_alias,82419,1,Oxford
Oxford,South East,2,Male,False,direct_or_alias,79622,1,Oxford
Peterborough,East,1,Female,False,direct_or_alias,109067,1,Peterborough
Peterborough,East,2,Male,False,direct_or_alias,106606,1,Peterborough
Plymouth,South West,1,Female,False,direct_or_alias,134784,1,Plymouth
Plymouth,South West,2,Male,False,direct_or_alias,129911,1,Plymouth
Portsmouth,South East,1,Female,False,direct_or_alias,104840,1,Portsmouth
Portsmouth,South East,2,Male,False,direct_or_alias,103163,1,Portsmouth
Preston,North West,1,Female,False,direct_or_alias,74101,1,Preston
Preston,North West,2,Male,False,direct_or_alias,73734,1,Preston
Ripon,Yorkshire and The Humber,1,Female,True,area_to_city,83007,1,Harrogate
Ripon,Yorkshire and The Humber,2,Male,True,area_to_city,79663,1,Harrogate
Salford,North West,1,Female,False,direct_or_alias,134389,1,Salford
Salford,North West,2,Male,False,direct_or_alias,135534,1,Salford
Salisbury,South West,1,Female,True,area_to_city,258626,1,Wiltshire
Salisbury,South West,2,Male,True,area_to_city,251704,1,Wiltshire
Sheffield,Yorkshire and The Humber,1,Female,False,direct_or_alias,282327,1,Sheffield
Sheffield,Yorkshire and The Humber,2,Male,False,direct_or_alias,274194,1,Sheffield
Southampton,South East,1,Female,False,direct_or_alias,123953,1,Southampton
Southampton,South East,2,Male,False,direct_or_alias,124969,1,Southampton
Southend-on-Sea,East,1,Female,False,direct_or_alias,92773,1,Southend-on-Sea
Southend-on-Sea,East,2,Male,False,direct_or_alias,87913,1,Southend-on-Sea
